fraud_name,real_name,negative_name
Perk1nElmer,PerkinElmer,A1eri5
Owens& Minor,Owens & Minor,Simon Proper ty Group
Owens& Minor,Owens & Minor,Miçron Techn0logy
Owens& Minor,Owens & Minor,Mèdnax
Owens& Minor,Owens & Minor,Gl0bal Partners
Owens& Minor,Owens & Minor,régency energy Partners
Owens& Minor,Owens & Minor,Brink's
U5 Foods,US Foods,CM E Group
U5 Foods,US Foods,W·PX Ener gy
U5 Foods,US Foods,Xýl em
U5 Foods,US Foods,Amêren
U5 Foods,US Foods,C A
U5 Foods,US Foods,3M.
Söuther.n,Southern,NIKE.
Söuther.n,Southern,BeM!s
Söuther.n,Southern,Borg Wárner
Söuther.n,Southern,L-3 Communications.
Söuther.n,Southern,Huntsman
Söuther.n,Southern,Álere
Towér International,Tower International,Celanese
Towér International,Tower International,Green Plàins
Towér International,Tower International,CB5
Towér International,Tower International,Dîebold
Towér International,Tower International,Ni ke
Towér International,Tower International,Perk1nElmer
ATÀT,AT&T,Chicó's  FAS
ATÀT,AT&T,TransD1gm Group
ATÀT,AT&T,Blackstone Group
ATÀT,AT&T,Sigma-Aldrich
ATÀT,AT&T,IBM
ATÀT,AT&T,Sandeŕson Farms.
Amer1can Express,American Express,mRc Gl0bal
Amer1can Express,American Express,Ròundy's
Amer1can Express,American Express,AmTrust Financiãl Services
Amer1can Express,American Express,Eversource Energy
Amer1can Express,American Express,ᗯh0le Foods Market
Amer1can Express,American Express,B0yd Gáming
Com munity Health System.,Community Health Systems,E Q T
Com munity Health System.,Community Health Systems,Intuitive Surgical
Com munity Health System.,Community Health Systems,Us ÀA
Com munity Health System.,Community Health Systems,"Pép  Boys-Manny, Moè & Jack"
Com munity Health System.,Community Health Systems,Parkér-Hannifin
Com munity Health System.,Community Health Systems,Staplès
KkR,KKR,Bb&T Corp.
KkR,KKR,WèllCare Health Planś
KkR,KKR,Wendy’s
KkR,KKR,A1pha Natural Resources
KkR,KKR,Jet BluèAirways
KkR,KKR,Har5cø
Al1y Fìnancial,Ally Financial,Cïsco. Systems
Al1y Fìnancial,Ally Financial,H P
Al1y Fìnancial,Ally Financial,Marri0tt Inter national
Al1y Fìnancial,Ally Financial,Èxide Technologies
Al1y Fìnancial,Ally Financial,Casey's General Stores
Al1y Fìnancial,Ally Financial,alCoa
Èducati0n Management,Education Management,A. Schu1man.
Èducati0n Management,Education Management,Energ1zer Holdíngs
Èducati0n Management,Education Management,Level 3 Communications
Èducati0n Management,Education Management,Convergys
Èducati0n Management,Education Management,H-P
Èducati0n Management,Education Management,Ame1ek
Avery Denn1son,Avery Dennison,Exterran Holdings
Avery Denn1son,Avery Dennison,Atmos Ener gy
Avery Denn1son,Avery Dennison,Procter & Gamble.
Avery Denn1son,Avery Dennison,Generál Gr0wth Properties
Avery Denn1son,Avery Dennison,Automati.c Data Processing
Avery Denn1son,Avery Dennison,Genuine Parts
A.NN,ANN,Cintas
A.NN,ANN,Gróup on
A.NN,ANN,Crestwood Equity Partnerš
A.NN,ANN,Dána Holding
A.NN,ANN,"T0ys ""R"" Us"
A.NN,ANN,H&R Bloçk
J0hnson Contr01s,Johnson Controls,Securián Financial Gr0up
J0hnson Contr01s,Johnson Controls,Insight Enterprises
J0hnson Contr01s,Johnson Controls,Amázon.com
J0hnson Contr01s,Johnson Controls,M0mentive Performance Materíals
J0hnson Contr01s,Johnson Controls,AmTrust Financial Services
J0hnson Contr01s,Johnson Controls,P¡PL
Unif1ed Grocers,Unified Grocers,Commercial.Metals
Unif1ed Grocers,Unified Grocers,Big Lots
Unif1ed Grocers,Unified Grocers,Partý CityHoldings
Unif1ed Grocers,Unified Grocers,ATÀT
Unif1ed Grocers,Unified Grocers,Áshland
Unif1ed Grocers,Unified Grocers,AGCO
Genès có,Genesco,gLo bal Payments
Genès có,Genesco,TrìNetGroup
Genès có,Genesco,Cablevision Systems
Genès có,Genesco,W.W. Grainger
Genès có,Genesco,Ac tivision Bl1zzard
Genès có,Genesco,Illin0is T0ol W0rks
Grahàm Holdings,Graham Holdings,Buřlington Storès
Grahàm Holdings,Graham Holdings,Lowe's
Grahàm Holdings,Graham Holdings,Lowe's
Grahàm Holdings,Graham Holdings,Haìn Celestia1 Group
Grahàm Holdings,Graham Holdings,Erie Insuránce Gr0up
Grahàm Holdings,Graham Holdings,Symètra Financial
Caméron Internat1onal,Cameron International,UpS
Caméron Internat1onal,Cameron International,AOŁ
Caméron Internat1onal,Cameron International,YumB rands
Caméron Internat1onal,Cameron International,Cisco Systems
Caméron Internat1onal,Cameron International,Unified Gr0cers
Caméron Internat1onal,Cameron International,H &R Bl0ck
Donal dson,Donaldson,Care-Fusion
Donal dson,Donaldson,Her5hèy
Donal dson,Donaldson,Cracker Barrel Old Country Store
Donal dson,Donaldson,Genworth  Financía1
Donal dson,Donaldson,Esterline Technologie5
Donal dson,Donaldson,H0me Depot
Statè Stree1 Corp.,State Street Corp.,Peter Kiewit Sons'
Statè Stree1 Corp.,State Street Corp.,Dukè Energy
Statè Stree1 Corp.,State Street Corp.,Kenna metál
Statè Stree1 Corp.,State Street Corp.,Anal0g De vices
Statè Stree1 Corp.,State Street Corp.,Dîebold
Statè Stree1 Corp.,State Street Corp.,Exide Techn0logies
Chubb.,Chubb,Apolló Education. Group
Chubb.,Chubb,Wh1ting Petroleum
Chubb.,Chubb,pG&E Corpü
Chubb.,Chubb,Cente.rPoint Energy
Chubb.,Chubb,USG
Chubb.,Chubb,Rèliance Steel & Aluminum
Bènchmark Electronics,Benchmark Electronics,CBR3Group
Bènchmark Electronics,Benchmark Electronics,Goodyear tire & Rubbeṛ
Bènchmark Electronics,Benchmark Electronics,Ener9y Transfer Equiþy
Bènchmark Electronics,Benchmark Electronics,Resolute Forest Products
Bènchmark Electronics,Benchmark Electronics,Raymond James Financial
Bènchmark Electronics,Benchmark Electronics,Lóckheed Mar tin
EMÇOR Group,EMCOR Group,ABM Indu5tries
EMÇOR Group,EMCOR Group,Navi5tar Internatìonal
EMÇOR Group,EMCOR Group,Big Heart_Pet Brands
EMÇOR Group,EMCOR Group,praxAir
EMÇOR Group,EMCOR Group,Securián Financial Gr0up
EMÇOR Group,EMCOR Group,Èntergy
IcaḥnEnterprises,Icahn Enterprises,Amèrican Nat10nal Insurance
IcaḥnEnterprises,Icahn Enterprises,Greenbr1er Cos.
IcaḥnEnterprises,Icahn Enterprises,McDona1d's
IcaḥnEnterprises,Icahn Enterprises,HealthS0uth
IcaḥnEnterprises,Icahn Enterprises,Anál0g Devices
IcaḥnEnterprises,Icahn Enterprises,Applied Materials
Orbi tál ATK,Orbital ATK,NùSkin Enterprises
Orbi tál ATK,Orbital ATK,AAR
Orbi tál ATK,Orbital ATK,G-III Appare1 Group
Orbi tál ATK,Orbital ATK,Berry Plastics Group
Orbi tál ATK,Orbital ATK,5tryker
Orbi tál ATK,Orbital ATK,Tex Tron
Western Uni0n,Western Union,Hovnanian. Enterprises
Western Uni0n,Western Union,B0ston Properties.
Western Uni0n,Western Union,Supervalu
Western Uni0n,Western Union,Kroger
Western Uni0n,Western Union,W.R. Berkley
Western Uni0n,Western Union,Genera1'Mills
Han0ver Insurance Group,Hanover Insurance Group,Cígna
Han0ver Insurance Group,Hanover Insurance Group,NII Hodlings
Han0ver Insurance Group,Hanover Insurance Group,Bánk 0f America Corp.
Han0ver Insurance Group,Hanover Insurance Group,SanDisk
Han0ver Insurance Group,Hanover Insurance Group,Chico's FAS
Han0ver Insurance Group,Hanover Insurance Group,B0rgWarner
Unitèd Technologies,United Technologies,Ava.Ya
Unitèd Technologies,United Technologies,H.B. Fuller
Unitèd Technologies,United Technologies,B0eing
Unitèd Technologies,United Technologies,CIT Gröup
Unitèd Technologies,United Technologies,JP Morgan Chase
Unitèd Technologies,United Technologies,Keurig Green. Móuntain
Po5t Hòldings,Post Holdings,Kimberly-Clárk
Po5t Hòldings,Post Holdings,Kelly Serv1ces.
Po5t Hòldings,Post Holdings,A.O.L
Po5t Hòldings,Post Holdings,Tetra Te ch
Po5t Hòldings,Post Holdings,Ea5tman Chemica1
Po5t Hòldings,Post Holdings,Interpublic Groúp
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Vántiv
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Tèrèx
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Principal Financial
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Áshland
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Cerner
Guardian Life Ins. Co. of Amèrica,Guardian Life Ins. Co. of America,Amerco
Tech Da.ta,Tech Data,C.R. Bárd
Tech Da.ta,Tech Data,Ocwen Financial
Tech Da.ta,Tech Data,DCP M1dstream Partners
Tech Da.ta,Tech Data,nu StarEnergy
Tech Da.ta,Tech Data,C1orox
Tech Da.ta,Tech Data,Parèxel International
PBF En ergy,PBF Energy,Abèrcrombie & Fitch
PBF En ergy,PBF Energy,International. Game Technology
PBF En ergy,PBF Energy,Levì Strau.ss
PBF En ergy,PBF Energy,Bect0n Dickinson
PBF En ergy,PBF Energy,Prudentia1 Financìal
PBF En ergy,PBF Energy,Meritor
Trium.ph Group,Triumph Group,CarMáx
Trium.ph Group,Triumph Group,Har tford Financial Services Group
Trium.ph Group,Triumph Group,Au t0-Owners Insurance
Trium.ph Group,Triumph Group,Hyatt Hotels
Trium.ph Group,Triumph Group,Advancèd Micro Deviçes
Trium.ph Group,Triumph Group,Co mcast
SèarsHoldings,Sears Holdings,Harman International Industries
SèarsHoldings,Sears Holdings,Abercrombie & Fitch.
SèarsHoldings,Sears Holdings,Wýnn Re5orts
SèarsHoldings,Sears Holdings,Fluor.
SèarsHoldings,Sears Holdings,MagéllanHea1th
SèarsHoldings,Sears Holdings,C.R. Bard
Bèm1s,Bemis,Compùter Sciencès
Bèm1s,Bemis,Kírby
Bèm1s,Bemis,Belk.
Bèm1s,Bemis,Anders0ns
Bèm1s,Bemis,WellCare Health Plans
Bèm1s,Bemis,W.R. Berk1ey
Carpenter Techn0logy,Carpenter Technology,0lin
Carpenter Techn0logy,Carpenter Technology,Intel
Carpenter Techn0logy,Carpenter Technology,Antero Resourceś
Carpenter Techn0logy,Carpenter Technology,Ingrèdion
Carpenter Techn0logy,Carpenter Technology,Cämpbell S0up
Carpenter Techn0logy,Carpenter Technology,Educa tion Managemènt
Gilead Sc1ences,Gilead Sciences,Ce1gene
Gilead Sc1ences,Gilead Sciences,Rayt heon
Gilead Sc1ences,Gilead Sciences,Bed Bath & Beyond
Gilead Sc1ences,Gilead Sciences,Hormel Foods
Gilead Sc1ences,Gilead Sciences,J.B. HunT Transport Servíces
Gilead Sc1ences,Gilead Sciences,Cárdinal Health
Hunt5man,Huntsman,D. R.Horton
Hunt5man,Huntsman,HSN
Hunt5man,Huntsman,Tor o
Hunt5man,Huntsman,Whirpòol
Hunt5man,Huntsman,BRuNswick
Hunt5man,Huntsman,SunGard Data System5
Fortune Brands Home & Security.,Fortune Brands Home & Security,Hármán InternationalIndustries
Fortune Brands Home & Security.,Fortune Brands Home & Security,Albemarle
Fortune Brands Home & Security.,Fortune Brands Home & Security,Jone5 Financial.
Fortune Brands Home & Security.,Fortune Brands Home & Security,LPL Financia1 Holding5
Fortune Brands Home & Security.,Fortune Brands Home & Security,H&R Bloçk
Fortune Brands Home & Security.,Fortune Brands Home & Security,Díplomat Pharmacy
Legg Mas0n,Legg Mason,cS X
Legg Mas0n,Legg Mason,Tex Tron
Legg Mas0n,Legg Mason,Bio-Rad Laboratories
Legg Mas0n,Legg Mason,FedEx
Legg Mas0n,Legg Mason,DTE Enèrgý
Legg Mas0n,Legg Mason,Com munity Health System.
Wolverine.World Wide,Wolverine World Wide,Charťer Communicati0ns
Wolverine.World Wide,Wolverine World Wide,Àirga5
Wolverine.World Wide,Wolverine World Wide,5tryker
Wolverine.World Wide,Wolverine World Wide,ValmontIndustr1es
Wolverine.World Wide,Wolverine World Wide,Owens Cornińg
Wolverine.World Wide,Wolverine World Wide,Bemis
Antero Resourceś,Antero Resources,Cincinnati Financial
Antero Resourceś,Antero Resources,Genesco
Antero Resourceś,Antero Resources,Intercontinental Exchange
Antero Resourceś,Antero Resources,Meri tor
Antero Resourceś,Antero Resources,aK Steel Holdíng
Antero Resourceś,Antero Resources,Procter & Gamble.
Boe ing,Boeing,EDwardsLifesciences.
Boe ing,Boeing,PBF En ergy
Boe ing,Boeing,Mondelez. International
Boe ing,Boeing,Lēxmark. Internati0nal
Boe ing,Boeing,Exprèss Scripts Holding
Boe ing,Boeing,Hol1yFrontier
Advancëd Micr0 Devices,Advanced Micro Devices,Goo gle
Advancëd Micr0 Devices,Advanced Micro Devices,CМSEnеrgy
Advancëd Micr0 Devices,Advanced Micro Devices,Hunt5man
Advancëd Micr0 Devices,Advanced Micro Devices,Precision Càstparts
Advancëd Micr0 Devices,Advanced Micro Devices,Express Scripts Holding
Advancëd Micr0 Devices,Advanced Micro Devices,Rockwe11 Automati0n
Parèxel International,Parexel International,NBT.
Parèxel International,Parexel International,Aramark
Parèxel International,Parexel International,E.quifax
Parèxel International,Parexel International,ARR1S Group
Parèxel International,Parexel International,Walgreèns
Parèxel International,Parexel International,Realogy Holding5
Scripps Netw0rks Interactive,Scripps Networks Interactive,Prudentia1 Financìal
Scripps Netw0rks Interactive,Scripps Networks Interactive,Cente.rPoint Energy
Scripps Netw0rks Interactive,Scripps Networks Interactive,Hilton Worldwide Holdings
Scripps Netw0rks Interactive,Scripps Networks Interactive,Priceline Group
Scripps Netw0rks Interactive,Scripps Networks Interactive,Murphy Oil
Scripps Netw0rks Interactive,Scripps Networks Interactive,Qualcomm
Peabody Ener gy,Peabody Energy,"Pép  Boys-Manny, Moè & Jack"
Peabody Ener gy,Peabody Energy,Scotts Miracle-Gro
Peabody Ener gy,Peabody Energy,Prìmoris Servíces
Peabody Ener gy,Peabody Energy,Cörning
Peabody Ener gy,Peabody Energy,IMS Health Holdings
Peabody Ener gy,Peabody Energy,Syma ntec
Unite dHealth Group,UnitedHealth Group,Pënn Nationál Gaming
Unite dHealth Group,UnitedHealth Group,T0wer Internatìonal
Unite dHealth Group,UnitedHealth Group,HÑI
Unite dHealth Group,UnitedHealth Group,Primoris Servicè5
Unite dHealth Group,UnitedHealth Group,Silgán. Holdings
Unite dHealth Group,UnitedHealth Group,PerkinElμεr
Alliancé One Internatíonal,Alliance One International,Greenbr1er Cos.
Alliancé One Internatíonal,Alliance One International,Yah0o
Alliancé One Internatíonal,Alliance One International,Hom eDepot
Alliancé One Internatíonal,Alliance One International,Univer5al. Forest Products
Alliancé One Internatíonal,Alliance One International,Ocwèñ Financial
Alliancé One Internatíonal,Alliance One International,RadioShack
Emerson Elēctric,Emerson Electric,Sally Beauty Holdings
Emerson Elēctric,Emerson Electric,EmC
Emerson Elēctric,Emerson Electric,kB Home
Emerson Elēctric,Emerson Electric,FannieMa e
Emerson Elēctric,Emerson Electric,Harman Internati0na1 Industries
Emerson Elēctric,Emerson Electric,Amer1can Tower
Inspersity.,Insperity,Carpenter Technology
Inspersity.,Insperity,Exèlis
Inspersity.,Insperity,Oaktrèe Capital Group
Inspersity.,Insperity,Goodyear Tire & Rubber
Inspersity.,Insperity,Amer1can Financial Gr0up
Inspersity.,Insperity,L1Q
Fami1yD0llar Store5,Family Dollar Stores,West.lake Chemical
Fami1yD0llar Store5,Family Dollar Stores,Faŕmers Insuránce Exchange
Fami1yD0llar Store5,Family Dollar Stores,Oceáneering. International
Fami1yD0llar Store5,Family Dollar Stores,PBF Energy
Fami1yD0llar Store5,Family Dollar Stores,Le1dos H0ldings
Fami1yD0llar Store5,Family Dollar Stores,Tupper wáre Brands
BorgWarner.,BorgWarner,Kár Auction Service5
BorgWarner.,BorgWarner,1nteI
BorgWarner.,BorgWarner,Old Dòminion Frèight Line.
BorgWarner.,BorgWarner,Devon Energy
BorgWarner.,BorgWarner,Aflac
BorgWarner.,BorgWarner,Kempeŕ
Seaboárd,Seaboard,McKesson
Seaboárd,Seaboard,Hel merich & Paynè
Seaboárd,Seaboard,Ènable Midstream Partners
Seaboárd,Seaboard,Eastmän Chemi cal
Seaboárd,Seaboard,Sherw1n-Williams
Seaboárd,Seaboard,Últà Salon Cosmetics & Fragrance
Denbury Res0urces.,Denbury Resources,Spirit AeroSystems Holdings
Denbury Res0urces.,Denbury Resources,AN'N
Denbury Res0urces.,Denbury Resources,Cran3
Denbury Res0urces.,Denbury Resources,Wells Fargo
Denbury Res0urces.,Denbury Resources,tJX
Denbury Res0urces.,Denbury Resources,E1i. Lilly
Cít1group,Citigroup,Wh1ting Petroleum
Cít1group,Citigroup,Sçience App1ications Internationa1
Cít1group,Citigroup,Spìrit AeroSystems Holdings
Cít1group,Citigroup,Be1k
Cít1group,Citigroup,Ulta Salon Cosmetic5 & Fragrance
Cít1group,Citigroup,Brinks
KB.R,KBR,Ascena Retail Group
KB.R,KBR,YRC Wòrldwide
KB.R,KBR,Hasbro
KB.R,KBR,Leidos. Holdings
KB.R,KBR,Br00kdále Senlor Living
KB.R,KBR,Uniød Ren†als
Meri tor,Meritor,A.GCO
Meri tor,Meritor,AEÇOM
Meri tor,Meritor,USFoo ds
Meri tor,Meritor,Newfield Exploratíon
Meri tor,Meritor,Staples
Meri tor,Meritor,Lìberty Mediá
Exèlis,Exelis,CF Industries Holdings
Exèlis,Exelis,Co lgate-Palmolive
Exèlis,Exelis,Blàckstone Gr0up
Exèlis,Exelis,C0ca-Cola
Exèlis,Exelis,Màrtin Marietta. Materials
Exèlis,Exelis,Hom eDepot
NGL Enèrgy Partners,NGL Energy Partners,Sanmína
NGL Enèrgy Partners,NGL Energy Partners,Cincinnatì  Fìnancial
NGL Enèrgy Partners,NGL Energy Partners,Ingle5 Market5
NGL Enèrgy Partners,NGL Energy Partners,Rockwell. Co11ins
NGL Enèrgy Partners,NGL Energy Partners,Time. Warner Cable
NGL Enèrgy Partners,NGL Energy Partners,Chesapeake Eńergy
Ryland Gr0up,Ryland Group,SanDisk
Ryland Gr0up,Ryland Group,Whitewáve Foods
Ryland Gr0up,Ryland Group,Concho Resources
Ryland Gr0up,Ryland Group,United Rentals
Ryland Gr0up,Ryland Group,IA5is Hea1thcare
Ryland Gr0up,Ryland Group,Precision Castparts
C0mmercial Metàls,Commercial Metals,Sys co
C0mmercial Metàls,Commercial Metals,Progressive
C0mmercial Metàls,Commercial Metals,C0n-way
C0mmercial Metàls,Commercial Metals,Mùtual of Omaha Insurance
C0mmercial Metàls,Commercial Metals,SunTrustBank5
C0mmercial Metàls,Commercial Metals,National FuèlGas
Amèrican Fam1ly Insurance Group,American Family Insurance Group,Polar is Indu5tries
Amèrican Fam1ly Insurance Group,American Family Insurance Group,Delta Tucker Holdings
Amèrican Fam1ly Insurance Group,American Family Insurance Group,State Farm Insuránce Cos.
Amèrican Fam1ly Insurance Group,American Family Insurance Group,App1ied Induśtrial Technologies
Amèrican Fam1ly Insurance Group,American Family Insurance Group,IMS Health Hòldíngs
Amèrican Fam1ly Insurance Group,American Family Insurance Group,Hasbro
$tarbucks,Starbucks,NextEra Energy
$tarbucks,Starbucks,Hormel.Foods
$tarbucks,Starbucks,Amkor Techno1ogy
$tarbucks,Starbucks,Scan5ourcé
$tarbucks,Starbucks,L.ear
$tarbucks,Starbucks,Tele dyne Tèchnologies
CD.W,CDW,A. Schu1man.
CD.W,CDW,Group 1 Aut0motive
CD.W,CDW,Boe ing
CD.W,CDW,Mutual of Americá Life Insurance.
CD.W,CDW,Estée Lâuder
CD.W,CDW,Automátic Data Pr0cessing
TRW Automotivè Holdings,TRW Automotive Holdings,Bo5ton Sc1entific
TRW Automotivè Holdings,TRW Automotive Holdings,RCS Cápitál
TRW Automotivè Holdings,TRW Automotive Holdings,Crow n Holdings
TRW Automotivè Holdings,TRW Automotive Holdings,Vant1v
TRW Automotivè Holdings,TRW Automotive Holdings,C0rning
TRW Automotivè Holdings,TRW Automotive Holdings,3xxon Mobil
Avnèt,Avnet,Priceline Group
Avnèt,Avnet,Advànce Aut0 Part5
Avnèt,Avnet,MeadWèstvaco
Avnèt,Avnet,J.M. 5mucker
Avnèt,Avnet,EmC
Avnèt,Avnet,Univi sion Communicati0ns
Arrow E1ectronics.,Arrow Electronics,O 1in
Arrow E1ectronics.,Arrow Electronics,Mutual of Omaha Insurance
Arrow E1ectronics.,Arrow Electronics,CIT Group
Arrow E1ectronics.,Arrow Electronics,Andersons
Arrow E1ectronics.,Arrow Electronics,Leggett & PlatT
Arrow E1ectronics.,Arrow Electronics,Eco1áb
W0lverine W0rld Wide,Wolverine World Wide,H0llyFrontier
W0lverine W0rld Wide,Wolverine World Wide,Oceáneering. International
W0lverine W0rld Wide,Wolverine World Wide,Hes5
W0lverine W0rld Wide,Wolverine World Wide,Tenet Healthcarè
W0lverine W0rld Wide,Wolverine World Wide,Alaska Air Group
W0lverine W0rld Wide,Wolverine World Wide,Jábil Circuit
J.M. Sínucker,J.M. Smucker,Órbital ATK
J.M. Sínucker,J.M. Smucker,Pinnàcle West Capital
J.M. Sínucker,J.M. Smucker,We5ternUnion
J.M. Sínucker,J.M. Smucker,Atmos Ener gy
J.M. Sínucker,J.M. Smucker,Joy Gl0bal
J.M. Sínucker,J.M. Smucker,Franklin Resourcès
Gènesis Ener gy,Genesis Energy,Dow Chemical
Gènesis Ener gy,Genesis Energy,Lansing Trade Group
Gènesis Ener gy,Genesis Energy,A1G
Gènesis Ener gy,Genesis Energy,Val spár
Gènesis Ener gy,Genesis Energy,Tesor0
Gènesis Ener gy,Genesis Energy,EνerSys
Franklin Resourcès,Franklin Resources,Equìnix.
Franklin Resourcès,Franklin Resources,Fis ér v
Franklin Resourcès,Franklin Resources,Donaldson
Franklin Resourcès,Franklin Resources,United Rentals
Franklin Resourcès,Franklin Resources,Américań Financial Group
Franklin Resourcès,Franklin Resources,Ocwen FinanciaI
Newfield Exploratíon,Newfield Exploration,1NTL FCStone
Newfield Exploratíon,Newfield Exploration,Nèw Jersey Resources
Newfield Exploratíon,Newfield Exploration,Starwood Hotels & Resorts
Newfield Exploratíon,Newfield Exploration,Internationál Flavors & Fra grances
Newfield Exploratíon,Newfield Exploration,Chipotle Mexicàn Grill
Newfield Exploratíon,Newfield Exploration,AutoZ0ne
Men's Wear house,Men's Wearhouse,Beacon Roofing Supply
Men's Wear house,Men's Wearhouse,Berkshìre Hathaway
Men's Wear house,Men's Wearhouse,S1gma Aldrich
Men's Wear house,Men's Wearhouse,Cablevision Systems
Men's Wear house,Men's Wearhouse,O'Rei11y Automotive
Men's Wear house,Men's Wearhouse,Graybár Elećtric
Stèel Dÿnamics,Steel Dynamics,Dillard5
Stèel Dÿnamics,Steel Dynamics,Principal Financial
Stèel Dÿnamics,Steel Dynamics,A. Schulman
Stèel Dÿnamics,Steel Dynamics,Greenbrier Cos.
Stèel Dÿnamics,Steel Dynamics,Southern
Stèel Dÿnamics,Steel Dynamics,Allstate.
Dentsply Internatìonal,Dentsply International,Target
Dentsply Internatìonal,Dentsply International,avnEt
Dentsply Internatìonal,Dentsply International,Dísney
Dentsply Internatìonal,Dentsply International,M3n's Wèarhouse
Dentsply Internatìonal,Dentsply International,Sun Power
Dentsply Internatìonal,Dentsply International,Waste Connections
Silgán. Holdings,Silgan Holdings,Illinois Tool Works
Silgán. Holdings,Silgan Holdings,Interpublic Group
Silgán. Holdings,Silgan Holdings,HeRshey
Silgán. Holdings,Silgan Holdings,Valspar
Silgán. Holdings,Silgan Holdings,Target
Silgán. Holdings,Silgan Holdings,M0lina Hea1thcare
Hawáiian H0ldings,Hawaiian Holdings,Owens Cornińg
