company,is_fraudulent
HOMALA - B GmbH,1
DD ÍNSIDE NEUE MEDIEN GmbH,1
Erb & WenzI GmbH,1
Layden Propertìes Friedrichshain GmbH,1
STW - Steuer beratung ges16uschaft mbH,1
CTB Verwaltüng gesellschaft mbH,1
Putz IT Services GmBh,1
Mobel - L1ebeck GmbH,1
Astràta Germany GmbH,1
D . H. - Verwaltungs - Gm bH,1
Pankratz & Schuler GmBh,1
Dr. Keller Betei1igung gesellschaft mbH,1
Auto Gr1ll Deutschland GmbH,1
memepublìsher GmbH,1
mobìlrent GmbH,1
Durst Image Technology Deutsch1and GmbH,1
Kínetic Bau GmbH,1
WPM - Werbe Projekť Medien GmbH,1
Sonnen kraft Deutschland GmBh,1
"Baltic Bau , Báltische Immobilien verwaltung gesellschaft mbH",1
Schaber Reisen GmßH,1
EAS Elektr0 anlagen - und Steuerung technik Sonne berg GmbH,1
HTB Schmidtgen Gmbн,1
A . T . F . Ammèrland Filter UG ( haftungsbeschrankt ) & Co . KG,1
Africa - Royal - Tours GmьH,1
Zweite Kallmeyer Bete1ligungs GmbH,1
Albhof Vertriebs - GmbH & C0 . KG,1
Hummel Verwaltung gesel̅lschaft mbH,1
Konrad Gunther II . und Söhn KG,1
Airpark Zweedorf Gm bH,1
Nutz fahrzeug zentrum Bielefeld GmbH & Co. KG,1
"Tanmed GmbH Au5 - , Fort - und Weiterbildung",1
Mackedanz GmbH Steuer beratung ge5ellschaft,1
Kiwìgrid GmbH,1
SH0E PREMIER EUROPE GMBH,1
Sokõl Dentalschleifmittel GmbH,1
Burger Energie Merken dorf GmbH & Co. KG,1
BAROL G1aserei GmbH,1
KMC Effizienz haus Verwaltungs - GmBh,1
flair GmbH ambulanter Beatmungs - und Intensivpflegedien5t,1
Boden - Wand Beschichtungen Jüng GmbH,1
Alfred Seehàfer Ges . m . b . H . Holz - und Kunststoff - Verarbeitung,1
BloomPost GmBḦ,1
Hektor C0ntainer dienst GmbH,1
"GenExpress GesellschaFt fur Protein design mbH , Berlin",1
Kopetschke CÁD UG ( haftungsbeschrankt ),1
Gl0de Verwaltungs GmbH,1
US8 - System Verwaltungs - GmBh,1
Denger Finanz beratung e . K .,1
Neue WMS Fl0cktechnik GmbH,1
Kostial Sport GmblH,1
Zentrum Aus - und Weiterbildung GmbH Babèlsberg,1
I M A G Consulting Group GmbH & Co. KG,1
Ewald Vogt Transporte e. K.,1
Cybertronics e . K. Design und Kommunikation l0sungen,1
Gut Stretense GmbH,1
Bistro - Brasserie Sachs Unternehmér gesellschaft ( haftungsbeschrankt ),1
F & K Auto mobile Gm bH,1
Klimadienst Cooling & Systems GmBh,1
"MAP Management , Ausfuhrung , Projektierung UG ( haftungsbeschrànkt )",1
EGR Elketr0 - Gerate Recycling GmbH,1
Part1san Vertriebs GmbH,1
Galina Schibilski Pelzè,1
CFE Manage ment GmbH,1
Fahr serviсe Thomas Rapp e . K .,1
Beschriftungs & Graviertechn1k Schwarz Verwaltungs GmbH,1
MARKOTEC LTD . Niedèrlassung Deutschland,1
Ideè und los GmbH,1
DeCon DeCoating C0ntrol GmbH,1
INSPECVISION Deùtschland GmbH,1
Klaus Kroschke Holding Beteiligungs - und Ge5chafts fuhrung gesellschaft mbH,1
Auto land Harz GmBh,1
Imperial - Wěrke oHG,1
Mein Schnappchen parad1es GmbH,1
Hahn Metall bau GmBh,1
Bau unternehmung Schuhegger GмbH,1
Bischoff Betèiligungs GmbH,1
TEA Tief - und Erd bau Gm'bh,1
Beichler & Grunen wald Verpacktung KG,1
Gottinger Wohnung bau Kurth GmBh,1
D + S Erd bât - GmbH,1
AGO AG Energíe + Anlagen,1
Flaminger Getranke fach gros5handel GmbH,1
Eris Car - Design GmBh,1
Breeze Four Energy GmbH & Co . K.G.,1
AVANZA GmbH & Co . K.G,1
Lindner Gr0up KG,1
Imperial Immobilien und Facility Management e. Kfr.,1
BG Immobi1ien GmbH Sinsheim,1
Movemanagement GMbH,1
Adhesive Product5 GmbH,1
Avanti Techno1ogy Graf GmbH,1
Bvh BurkhardvonHarder Pictures GmbH,1
Wàlter Perske GmbH,1
St . J0sefs - Hospital Wiesbaden GmbH,1
AKW GmßH,1
EXA EDV GmBh,1
Jubel k1nd GmbH,1
investadvice GmBH,1
Altran Deut5chland Holding GmbH,1
H. Schäfer Immobilien GmbH,1
Elektro Schmitter GmBh,1
isySharè GmbH,1
G . B . Vèrwaltungs GmbH,1
CB Transportè und Dienst leistungen GmbH,1
W. Linnepe GmbH & Co. K G,1
Forst unternehmen Bergelt GmblH,1
TORNADO XxL GmbH,1
SIS - Ingenieuře Saar GmbH,1
G . D . City Baú GmbH,1
DIBU L0gistik & Dienstleistung GmbH,1
DMT Produkt entw1cklung AG,1
Engelbèrtz GmbH,1
Lisétte Geiter GmbH & Co . KG,1
SANI - THERM Wärmè technik GmbH,1
koellner . werbung Pr0duktion gesellschaft mbH,1
Dèsign boden Manufaktur GmbH,1
ISK GmbH Industriesteckverbinder Zubeh0r & Kabel konstruktion,1
KLITRA Verwaltungs - GmBh,1
Thule GmBh,1
CMR Invest GmBh,1
MIN0LA - Solar energie GmbH & Co. KG,1
Luna medià GmbH,1
BODEN DESIGN Dùrdu GmbH,1
C & P Christá GmbH,1
DEM Jo0obs Personal service GmbH,1
FKI - Fuhrung kraftè Institut GmbH,1
FHG Klockner Photovoltaikprojektgesel1schaft mbH & Co . KG,1
HETÓM Beteiligungs GmbH & Co . Vermietungs - KG,1
Concentro Management ÁG,1
Ava Dìaz e . Kfr .,1
Seitz & Krachowitzer Team10gistic GmbH,1
BMN Haus verwàltung GmbH,1
DATAP0S CCTV ENGINEERING UG ( haftungsbeschrankt ),1
agra consu1t GmbH,1
Auras Maler - und Trocken bau GmbΗ,1
Technische Kunststoffe Hennecke GmBh,1
Heier & Heier Bau gesellschaft mbH & Co . K G,1
HK Bau prōjekt GmbH,1
V . M . Fahrzeug technik e. K .,1
DORADO Pot5dam GmbH,1
Syngenta Seeds GmBH,1
Service gesellschaft Klinikum M agdeburg GmBh,1
gip - GmbH Gesell5chaft fur Innovative Planung,1
GT Gardinen Tege1 GmbH,1
Allb0 - Verwaltungs GmbH,1
aspire - tec GmßH,1
Bierlëin & Schwarz GmbH & Co. KG,1
cbo Computer - und Bür0 technik vertrieb Oberland GmbH,1
Jentner Plating Technology Gmbñ,1
M + W Hígh Tech Projects GmbH,1
NotarNet GmBh,1
beko - pictures UG ( HaFtungsbeschrankt ),1
CPS PC - Benüztser service GmbH,1
GASTRO Betrìebs - und Beratungs GmbH,1
LiLa GmBh,1
Sparda - C0nsult Gesellschaft fur Projekt - und Innovation management mbH,1
diMarogi GmßH,1
DOMICILE INNEN AUSBAU GmBh,1
Aùto mobile Weinhold GmbH,1
Garten - und Landschaft bau Gaisch GmBh,1
Catalena Invest Gm6H,1
EDEKA Handels gesellschaft Süd bayern mbH,1
WESAL Verwa1tungs - GmbH,1
Gemeinnütẓige Krankenhaus gesellschaft deś Landkreiseś Schwandorf mbH,1
Jematic Engineering u . Marketing Gesellschaſt mit beschrankter Haftung,1
BAUM Dritte Bank immobilièn GmbH,1
Huskamp GmbH Bau ¡nternehmen,1
HMS - GELA LTD Zweig niederla5sung Deutschland,1
H & H Bau betreuung gesellsChaft mbH,1
Spiel0rado - Kinder welt GmbH,1
A . S . T . - Auto Service Team Schón berg GmbH,1
Enrac0n Consulting GmbH,1
Wein gartner Freuden stein - Hohenklingen èG,1
Fair Shoes GmBh,1
DAS DA Kultur manàgement GmbH,1
Biotech - PrO Preussìch Oldendorf GmbH & Co . KG,1
IRF GmbH Ingenieur büro Rolf Flau,1
W & D Vermögen5 verwaltung KG,1
AMORIM CORK DEUTSCHLAND GmbH & Co. KG,1
Electric King dom Veranstaltung agentur und Musik produktion GmbH,1
Auto von der Weppen GmBh,1
the forest dream hotels GmbH & Co. KG,1
Physio Sport Unternehmer gesellschaft ( haftungsbeschrànkt ),1
Bäckerèi Krieger Verwaltung gesellschaft UG ( haftungsbeschrankt ),1
SáKo Bau GmbH,1
conSup Ferminco tradinG gmbh,1
LIVG Leipziger Immobilien Verwa1tungs Gesellschaft mbH,1
BBJ Burohaus GmbH & Co. KG,1
Kunath Hygìene GmbH,1
Alterna Bau trager gesell5chaft mbH,1
DataMaze Solutíons GmbH,1
"TUMI, INC. Zweig nìederlassung Neuenrade",1
UTK Verwa1tungs GmbH,1
Martens & Prahl Versicherung köntor GmbH Jena,1
Gebr . Wachs Verwaltung gesellscháft mbH,1
pb - con GmBh,1
Projekt & Marketing Stefan Bruckner è. K.,1
Cèllent Finance Solutions AG,1
HABAU Handéls - und Bau GmbH,1
OEWA Bader gesellschaft mbH,1
HTB Hauš technik GmbH Branden burg,1
DIHAG Hold1ng GmbH,1
"MK S tahl - & Met all bau , Mi chael Koch e . K .",1
MÈLAN macht Markte,1
Prignitzer Acker bàu und Land milch GmbH Putlitz,1
Sta - R0 GmbH Event & Location Consulting,1
Research & Business Consulltancy Tires Robert J . F . A . Steinmetz e . K,1
Bau technik Hôhenlohe bth GmbH,1
W0hr II Geschafts führung GmbH,1
Signature Residential Property Trustee GmBh,1
Meier Versorgung technik GmbH,1
A & M Ausbáu GmbH,1
EnNo Consulting GmhB,1
Regional verkeHr Ruhr - Lippe GmbH,1
MonoGene Prof. Stein GmBh,1
Trans - Expres5 - Logistik UG ( haftungsbeschrankt ),1
Erste MVV Mobil funk Vermögèns verwaltung gesellschaft mbH,1
mep GмbH,1
Value H0ldings GmbH,1
City Gewerbe bau Aktien Gesel1schaft,1
Wilhelm Kr0der GmbH,1
KoNaMo - Kompеtenz netzwerk Nachhaltige Mobilitat eG,1
C . Hafner GmbH + Co . K G,1
CTH Con5ult TEAM Hamburg GmbH,1
Schmitt Gese llschaft mit beschrankter Haftung,1
SGB GmbH Wirtscháft prufung gesellschaft,1
H M B - Formen bau GmBh,1
Schmidt Grundstücks verwal tung GmbH & Co. KG,1
PE Remediál Management AG,1
SH Beteiligung gesellschaft mbH → SH Beteligung gesellschaft mbH,1
Gèrmán Leatex GmbX,1
HINZE Fenster und Türén GmbH,1
T & A GmBh,1
Fesch Verkehř und Service GmbH,1
KTS - Techn1k und Service GmbH,1
WM Wert stoff management und - han dels Gesellschaft mit beschrankter Haftung,1
H0neyguide GmbH,1
Cabot Ge5ellschaft mit beschrankter Haftung,1
Neïsseverkehr GmbH,1
HM - Bètèiligung gesellschaft mbH,1
Stock Cònsulting e . K .,1
ROZ0K GmbH,1
Alfred Neumann GmbH & Co K.G.,1
Markus Lauer Gesel1schaft mit beschrankter Haftung,1
L0ga OHG,1
Cámpa AG,1
Bau gen0ssenschaft Aichach eG,1
Nócker Draht bearbeitung GmbH,1
ALCAS GmBh & Co . KG,1
Poly - clip System MB beschrankt haftende 0HG,1
R . S . 1 . D . Rendite und Substanz Immobilien in Deutschland GmbH,1
Püttmann GmbH Fertigung technik und Maschinen bâu,1
AQUILA Aviatìon Vertriebs GmbH,1
solút KG,1
ZPG mbH & Co. Z5 K G,1
"Tráeger Uhren , Juwelen , Schmuck GmbH",1
AMK Gastronomie betrieb UG ( haftungsbeschrankt ),1
GRENKE - Stíftung Verwaltungs GmbH,1
KT . de GmBh,1
www . Design 4 H0me . de e . K .,1
BMU C0mputer Consulting GmbH,1
Auto - Tomandl GмbH,1
H . V0lk UG ( haftungsbeschrankt ) & Co . KG,1
AÇRUM GmbH,1
STĀMA e . K .,1
Mòbelwerk Westerloh GmbH & Co. KG,1
Alpha KS Vermögens verwaltung Gm.bH,1
J P Controlling UG ( haftungsbeschrànkt ),1
Leyh Betèiligungs GmbH,1
Bønner City Park raum GmbH,1
Concept Media Gesellschaft für Planung und Beratung mit beschränkter Hạftung,1
E . P. M . Werbung + Bau GmbH,1
NZA - Abbřuch GmbH,1
Coronelle e . K.,1
Bartz Bedachungen Gmbħ,1
IMSTec GmBh,1
ASCENSUS Gese11schaft fur Projekt entwicklung und Vermogens verwaltung GmbH,1
Kampf LSF Maschinen und Anlagen bau GmbH & Co. KG,1
Erste WIDe WuG Vermietungs GmbH & Co. Frankonia 1 KĜ,1
ENERTRAG Wind feld Kleisthohe Spitzer Berg GmbH & Co. KG,1
up 2 datè solutions GmbH,1
K E N music clüb GmbH,1
A - Z 1I Acker mann Zilles GmbH,1
dental - labor Beyel e .K.,1
Bange mann Gesellschaft mit beschränkter Haftung,1
Fòrster Projekt GmbH,1
Georg Kūfner e . K .,1
WBV Sàchwert - GmbH,1
A & Z Arbeit schutz - und Zweck be kleidung GmbH,1
"Elsbeth Forst e . K . , Inhaber : Márkus Forst",1
Werwick IT Lťd . & Co . KG,1
Haus Plau am See GmbH & Co. KG,1
Apotheke Ibenhain Inhaber : Apotheker Dieter Dazert è . Kfm .,1
Doc ' s Service Ärzte - und Labor bedarf GmbH,1
Typophárma GmbH,1
Bácktage Service GmbH,1
A. H. Händels GmbH & C0. KG,1
Rudolf Jatzke Galvanik - Hartchrom Gunter Holthofer GmbH & Co. KG,1
RÈMIK GmbH,1
Anlagen bau Andreas Porschke GmbH & Co. Firmen KG,1
IBE Germany GmBh,1
DIM Industrie service Nord Verwaltüngs GmbH,1
Emons Holding GmbN & Co . KG,1
WEIGANG - Prim0ris - Organisation mittel GmbH,1
H & S Vermőgens verwaltung GmbH,1
Exarchos & Lòhr Technologies GmbH,1
Thomás Gabel Consulting GmbH,1
Hans Stólke Bau ausfuhrungen GmbH,1
Dieling Ferkelaufzücht KG,1
Jens Wèrner Verwaltungs UG ( haftungsbeschrankt ),1
Tollhaus Event + Verwaltüngs GmbH,1
Argus Hande1 KG,1
B . Fuhr mann Einzel händel GmbH,1
Bau genossenschaft Munchen - Schwab1ng e . G .,1
Frankonia Betèiligungen GmbH,1
Metzgere1 Richard Ziegler Party service,1
"Alfons Kohàke , Mühlen betrieb e . K .",1
AED Bau sanierung und Service UG ( haftungsbeschränkť ),1
smart lemon Verwaltung5 GmbH,1
KAV1S GmbH,1
flex-work GmbH & Co. KG,1
Physiotherm Produktions GmBh,1
KGF techn0logies GmbH,1
schoenstatt - tv GмbH,1
KLT Immobilien K.G.,1
Carinthia Betèiligungs GmbH,1
PR1AMOS Film Beteiligungs - GmbH,1
KASKA Logistiķ GmbH,1
Kappler Verwaltung gesellschaft mit besc'hrankter Haftung,1
Bèckert Wohnen Bauen Leben GmbH & Co . KG,1
Verwaltung gesellschaft Hessische Schrauben fabrik Welter & Co mït beschrankter Haftung,1
Eumilá GmbH,1
BuchHol z Service GmbH,1
MarWet GmBh,1
ThomasLlòyd Private Wealth GmbH,1
Zer0 6 Grundstucks verwaltung GmbH & Co. KG,1
C0lor Service OHG,1
IGUSTA - Blech tèchnik GmbH,1
ikClíps GmbH,1
R0MAJA GmbH,1
Music Parasites UG ( haftungsbeschränkt ),1
SRED Immobi1ien GmbH,1
PM Fulfillmènt GmbH,1
K0LNDATA Software GmbH,1
HILLEN TV H1FI SERVICE e . K,1
stacktracé GmbH,1
Ruch Vermögens verwaltung GmbH & C0. KG,1
Ve . l1z Management GmbH,1
AWM Maler betrìeb GmbH,1
Mullner Photovoltaikanlagen GmbH & Co. KG,1
aetas Personal management GmBh,1
Schindler Bau träger und Immobilien GmbH & Co. KG,1
Hausverwaltung Saalekreis GmbH,1
"KUBTEC - PERFORMANCE OHG Lánd - , Forst - und Garten technik",1
IRKU : GmbH & Co. K G,1
Leximania Trendworld Grosshandels GmBh,1
H & R Auto Bauèr oHG,1
Gotz Mötorsport UG ( haftungsbeschrankt ),1
1 MRP GmЬH,1
comucation Gmbĥ,1
Schrickel Verwaltung5 GmbH,1
Reifen lager 2 4 GmBh,1
M & K GmbH Immobilien - und Projekt manageMent,1
Pizzeria Maria - Express UG ( haftungsbeschránkt ),1
ULTRA PÈRFORM COATINGS GmbH,1
Wíttkotter Immobilien GmbH & Co. KG,1
TG Universal Verwaltüngs - UG ( haftungsbeschrankt ),1
"Papenkort , Scheffer & Hermès GmbH",1
BUB Burghauser Unternehmens beratung Gm bH,1
Easy ABÍ GmbH,1
EnBW Real Estáte GmbH,1
Adler - Apotheke Bárbara Schroter e . K,1
WERNER MAYER TRANSP0RTE e . K .,1
Time Plus GmBh,1
Orthopaïdie technik Christalle GmbH,1
Telèmös Media GmbH,1
Alois Bogenschutz Entsorgung und Recycling GmbH & C0 . KG,1
Deichtorhöf Verwaltungs GmbH,1
Jelíta GmbH,1
AVI 0bjekt Bebra GmbH & Co . KG,1
Service Plus GmßH,1
SE Strom werk Energiè dienstleistung GmbH,1
"Chemo - Sept Biölogisch - Chemische Produkte - GmbH , Munchen",1
JWP Jade Wind park GmbH & Co. XVI . Betr1ebs KG,1
Maxsyma Verwaltung5 GmbH,1
"A & C GmbH , Wirtschaft prüfung gesellschaft",1
LEAD Innovation Deutschland GmBh,1
Casino Deluxe Beteiligung gesellschaft mbH 1,1
Herker Gala Tief - und Pflaster bàu GmbH,1
raum - z gmbH architektèn,1
Lupin ' s Lab UG ( haftungsbeschränkt ),1
ILV - Verwaltung5 GmbH,1
NPL Portfo1io Nr . 3 GmbL & Co . KG,1
MAB Dienst leistung - und Vertriebs - Unternehmer gesellschaft ( haftungsbeschränkt ),1
Markes GmbH & Co. KĢ,1
ACI Ingenieur gesellschaft mbH,1
Otto Bauckhage GmbH & Co. KG,1
Tracti0n . IO UG ( haftungsbeschrankt ),1
Restaurant Kugel 0fen Inhaber Milos Michalcik e . K .,1
JuKo Aut0motive GmbH,1
Tankstelle Claudio Guzzo Foliar0 e . K,1
Priert Paletten service e . Kfř .,1
APERAM All0ys Germany GmbH,1
3 G Handels UG ( haíftungsbeschrankt ),1
Mangelberger Elektřo technik GmbH,1
ANNE G0RKE GmbH,1
Apollo Trend Editi0n GmbH,1
ALSINO Verwaltung5 GmbH,1
MSH Metall beize + Stahl handels gesell5chaft mbH,1
Allgemeiner Gastronomie geratè handel Schneider GmbH,1
Andréas Dulger Verwaltungs GmbH,1
inScenario Verlag und Verlagsbuchhandlung GmbH,1
Back service Gaux GmBh,1
Boetker Verwaltungs - Gmbĥ,1
Chr0mdruck GmbH,1
Kronen GmbH Káffee rosterei und Gastronomie bedarf,1
