real_name,positive_names,negative_names
Amazon.com,"['Amázon.com', 'Amazon.c0m', 'Amaz0n.com']","['Symante.c', 'Amèr.co', 'Amèrco', 'Amerco', 'V¡acom', 'An.them']"
Amerco,"['Amèrco', 'Amèr.co']","['Amázon.com', 'Alcoa', 'Amèrén', 'AmericañTower', 'Arch Coal']"
Ameren,"['Amèrén', 'Amêren', 'Amerčò', 'Ame.ren']","['Amgen', 'Amphenol', 'Alère', 'Amgèn', 'Amerco', 'Alere', 'A1ere', 'jArden']"
American Airlines Group,"['AmericanAirlines. Group', 'Americán Airtines Group', 'Amèrican Aír1ines Gr0up']","['Amer1can Financial Gr0up', 'Amèrican Fam1ly Insurance Group', 'Ame rican Financíal Group', 'Priceline Group', 'American Family Insurance Group', 'American Financial Group']"
American Axle & Manufacturing,"['Àmerican Axle & Manufacturing', 'America n Axle & Mànufacturing', 'Americán Axlè & Mànufacturing']","['American Eagle Outfitters', 'American Eaglè Outfitters', 'ᗩmerican Eagle Outfitter5', 'Americ an Electric Power', 'Americán Electric Power', 'American Electric Power']"
American Eagle Outfitters,"['Aмerican EagleOutfitters', 'American Eaglè Outfitters', 'ᗩmerican Eagle Outfitter5']","['Ur ban Outfitter5', 'Americ an Electric Power', 'Urban Outfitters', 'American Water Works', 'American Electric Power']"
American Electric Power,"['Americán Electric Power', 'american eLectric power', 'Americ an Electric Power']","['American Eagle Outfitters', 'Emerson Electric', 'American Tower', 'American Water Work5', 'American Water Works']"
American Equity Investment Life Holding,"['A.méŕican Equity Investment Lìfe Holding', 'AmeřicanEquity Investment Life Holding', 'Americán Equity Investment Life Holding']","[""Amèrican Tire Distributor's Holdings"", 'Amer1can T1re Distributors Holdings', 'American Tire Distributors Holdings', 'Ame rican Tire Distrìbutors Holdings']"
American Express,"['Americàn Express', 'Amer1can Express', 'Ameri can Express']","['Express', 'American Tower', 'American Airlines Group', 'Americán Electric Power', 'Amerìcan Tower', 'American Electric Power']"
American Family Insurance Group,"['Amer1can Family In5urance Group', 'American Family Insurance Gr0up', 'Amèrican Fam1ly Insurance Group']","['Sen try Insurance Group', 'Erie Insurance Group', 'Amer1can National Insurance', 'Ame rican Financíal Group', 'American National Insurance', 'Èrie Insurance Group', 'American Financial Group']"
American Financial Group,"['Ame rican Financíal Group', 'Américań Financial Group', 'Amer1can Financial Gr0up']","['Securián Financial Gr0up', 'Securian Financial Group', 'Securian Financíal Gr oup', 'CNO Financial Group', 'American Family Insurance Group']"
American National Insurance,"['Amer1can National Insurance', 'Amerícan Natìonal Insurancè.', 'Amèrican Nat10nal Insurance']","['Am1ca Mutual Insurançe', 'Amica Mutual Insurance', 'Amica Mutuál Insurance', 'American Family Insurance Gr0up', 'American Family Insurance Group']"
American Tire Distributors Holdings,"[""Amèrican Tire Distributor's Holdings"", 'Ame rican Tire Distrìbutors Holdings', 'Amer1can T1re Distributors Holdings']","['Americán Equity Investment Life Holding', 'Allison Transmission Holdings', 'Al1isón Transmission Holdings', 'A11ison Transmission Holdings', 'American Equity Investment Life Holding', '1inc0ln Electric Holdings', 'ServiceMaster Global Holdings']"
American Tower,"['Amerìcan Tower', 'Amer1can Tower', 'AmericañTower']","['American Express', 'American Electric Power', 'Amerco', 'Americ an Electric Power']"
American Water Works,"['American Water Work5', 'Ame rican Water Works.', 'Amer1can Water Works']","['Amerìcan Tower', 'Americ an Electric Power', 'American Electric Power', 'American Tower']"
Ameriprise Financial,"['AmeriPri se Financia1', 'Amèriprise Financiál', 'Ameρr1se Fínancial']","['Sÿmetra Fìnancial', 'Fírst American Financial', 'Symetra Financial', 'Regions Financial', 'Symètra Financial', 'Principal Financial', 'Jones Financial', 'Stifel Financial']"
AmerisourceBergen,"['AmerisourceBergén', 'A meri sourceBergen', 'ÁmerisourceBergèn']","['Èversource Energy', 'Eversour ce Energy', 'Eversource Energy']"
Ametek,"['amEtek.', 'Ame1ek', 'Amètèk']","['Amgen', 'N0rtek.', 'Nortek', 'Aramark', 'Nor tek', 'Ame.ren', 'Ameren', 'Aràmárk', 'ARAmark']"
Amgen,"['Amgèn', 'Amgè.n', 'àMgen']","['Bìogen', 'Biogen', 'Ame.ren', 'B1ogen', 'Ameren', 'Amèrén', 'Amêren']"
Amica Mutual Insurance,"['Amica Mutuál Insurance', 'Am1ca Mutual Insurançe', 'AmicáMutualInsurance']","['Amer1can National Insurance', 'Amèrican Nat10nal Insurance', 'Mutual of Omaha Insurance', 'American National Insurance']"
Amkor Technology,"['Amkor Techno1ogy', 'Aмkor Technólogy', 'Amkor  Techn0logy']","['mIcon Technology', 'Mícroñ Technology', 'Micron Technology', 'Miçron Techn0logy']"
Amphenol,"['Ampheñol', 'Amphen0l', 'Am phenol']","['Amgen', 'Amerco', 'Apáche', 'Apache']"
Anadarko Petroleum,"['Ana daŕko Petrole um', 'Ānādarko PeTrõleum', 'Anädärko Petroleům']","['Pàr Petroleum', 'Marathon Petroleum', 'Par Petroleum', 'Marathon. Petroleum']"
Analog Devices,"['ánaløg Devices.', 'Anal0g De vices', 'Anál0g Devices']","['Advancëd Micr0 Devices', 'Quánta Services', 'Kelly Services', 'Advanced Micro Devices', 'Quanta Services']"
Andersons,"['Anders0ns', 'Andersons.', 'Andérson5']","[""Aaron's"", 'Sandersón  Farms', 'SunÉdison', '5anderson Farms', 'SunEdison', 'Sanderson Farms', 'SùnEdison']"
Anixter International,"['An¡xter InternationaI', 'Anixter Interna tionál', 'Ànìxter Internatìonál']","['Baxte r International', 'Baxter Internationá1', 'Baxter International', 'Båxter Internati0nal']"
Antero Resources,"['Anter0 Resour ces', 'Änterò Resources', 'Antero Resourceś']","['Range Resources', 'Denbury Resources', 'AGL Resources', 'Targa Resources', 'Cóncho Resources']"
Anthem,"['Änthém', 'An thèm', 'An.them']","['Hùntsmán', 'Avnet', 'Apa che', 'Avnèt', 'Huntsman', 'Inte1', 'Centéne', 'Intel']"
Apache,"['Apa che', 'Apáche', 'Apachè']","['Amphenol', 'Ampheñol', 'Amphen0l', 'Paychex.', 'Paÿchex', 'COAch', 'Cóach', 'Coach', 'Paychex']"
Apollo Education Group,"['Apolló Education. Group', 'Apóllo Education Group', 'Apollo Educat1on Gróup']","['Blàckstone Gr0up', 'Blackstone Group', 'Altria Group', 'Altria Gróup', 'Black5tone Group']"
Apple,"['áPple', 'App.le', 'App1e']","['Staples', 'NètApp', 'Apáche', 'Alère', 'Álere', 'Alere', 'NetApp', 'Stapl es']"
Applied Industrial Technologies,"['Applied Indu strial Technologíes', 'App1ied Induśtrial Technologies', 'Appl1ed Industriál Technologie5']","['Agilent Techno logies', 'Roper Technologies', 'Teledyne Technologies', 'Agilent Technologies']"
Applied Materials,"['Applìed Materìals', 'Applíed Matèrials', 'Appl1ed Materíals']","['Vulcan Materials', 'Vúlcan Materials', 'Vúlcán Material5']"
AptarGroup,"['A ptarGroup', 'AptårGrøup', 'AptaðGroup']","['ArRIS Group', 'áltría Group', 'Altria Group', 'Altria Gróup']"
Aramark,"['Aràmárk', 'ARAmark', 'Ara mark']","['Torchmark', 'Tor chmark', 'Albemarlé', 'Torchmark.', 'T0rchmark']"
ArcBest,"['arCBest', 'ArcBèst', 'Arc Best']","['W est', 'Amèrco', 'West', 'Best Buy', 'Aírgas', 'Best Buÿ', 'cBs']"
Arch Coal,"['A.rch Còal', 'Arch C0al.', 'Árch Coa1']","['Alco a', 'Ara mark', 'Arc Best', 'Michaels Cos.', 'Echo$tar', 'EchoStar']"
Archer Daniels Midland,"['Ar cher Daniel5 Midlând', 'Arche.r Daniels Midland', 'Ɓrchèr Daníels Mìdland']","['Avery Dęnnison', 'Hanesbrands', 'HanesBrandS', 'Avery Dennison', 'General Mills', 'Arch Coal', 'WèllCare Health Planś']"
Armstrong World Industries,"['Armstrong W0rldIndustries', 'Armstrong Wòrld Industrie5', 'Arm5trong World Industries']","['Harman International Industries', 'Valmont Industries', 'Thor Industries', 'Worthington Industries', 'Wòrthington Industries']"
Arrow Electronics,"['Arroω E1ectronics', 'Arrow E1ectronics.', 'Árrow Electronics']","['Electronic Arts', 'Bènchmark Electronics', 'Benchmark Electronics']"
Arthur J. Gallagher,"['Arthùr J. Gállagher', 'Árthur J. Gallaghèr', 'Arthu r J. Gallagher']","['W. W. Grainger', 'Procter & Gamble', 'Pròcter & Gam ble', 'Pr0cter & Gamble']"
Asbury Automotive Group,"['Ásbury Automotive Group', 'AsbùryAut0motive Gròup', 'Asbury Autom0tive Group']","['Pènskè. Automotive Group', 'Pénske Automotive Group', 'Penskè Automotive Gr0up', 'Penske Automotive Group']"
Ascena Retail Group,"['Ascena Retaìl Group.', 'Asçena Retail Gr0up', 'Ascéna Retail Group']","['CUNA Mutual Group', 'Alaska Air Group', 'Hain Celestial Group', 'CUNA Mùtual Group', 'Hain Ce1estial Gr0up']"
Ashland,"['A5hland', 'Áshland', 'Ashlánd']","['CsT Brand5', 'Allergan', 'A. Schulmán', 'hSn', 'Hanesbrands', 'A. Schulman', 'Allergan.', 'Hanèsbrands']"
Assurant,"['Assuránt', 'A$surȧnt', 'Assúrant.']","['Monsanto', 'Ashland', 'Avnèt', 'Monsant0', 'Essèndant', 'Essendant', 'Essendant.']"
Atmos Energy,"['Atmös Eneгgy', 'Atmos Ener gy', 'ÄtmosEnergy']","['TECo Energy', 'Alliant Energy', 'All1ant Energy', 'Consol Energy', 'Cons0l E nergy', 'Puģet Energy']"
Auto-Owners Insurance,"['Auto Owners Insurance', 'Au t0-Owners Insurance', 'Autó-0wners Insurance', 'Auto-Owners Insurance:']","['Mutuál of Omaha Insurance', 'Amica Mutual Insurance', 'Hanóver Insurance Gr0up', 'Mutual of Omaha Insurance', 'Amica Mutuál Insurance']"
AutoNation,"['Són1c Automation.', 'Aut0Nation', 'AutoNatíon', 'AutoNat1on']","['Na tionwide', 'Rockwell Automati on', 'AutoZ0ne', 'Au toZone', 'Nationwide', 'Rockwell Automation', 'Nationwide.', 'AutoZone', 'R0ckwell Automation']"
AutoZone,"['AutoZ0ne', 'Aut0Zone', 'Au toZone']","['AutoNation', 'Autodesk', 'AutoNatíon', 'AutoNat1on']"
Autodesk,"['Autodèsk', 'AutòDesk', 'Aut0desk']","['AutoZ0ne', 'Autol1v', 'Autoliv', 'AutoZone', 'Aut0Zone', 'Ametek']"
Autoliv,"['Autølív', 'Au toliv', 'Autol1v']","['Autodèsk', 'AutoNatíon', 'AutoNation', 'AutòDesk', 'AutoZone', 'S0nic Automotivè', 'Autodesk', 'Sonic Automotive']"
Automatic Data Processing,"['Automatic Dàta Processing', 'Automátic Data Pr0cessing', 'Automati.c Data Processing']","['American Express', 'AutoNation', 'TRW Automotivè Holdings', 'Alliance Data Systems', 'tRw Automoti ve Holdings']"
Avaya,"['Avay a', 'Aváya', 'Ava.Ya']","['SCANa', 'Avnèt', 'Aa R', 'Aramark', 'Ara mark']"
Avery Dennison,"['Avery Dęnnison', 'Ẽvery Denni5on', 'Avery Denn1son']","['Andersons', 'SùneDison', 'Wèstern Union', 'Ameren', 'We5ternUnion', 'Henry Schein', 'Andersons.']"
Avis Budget Group,"['AVlS Budget Gr0up', 'AVIS Budget. Group', 'AvísBudget Gr0up']","['CUNA Mutuäl. Group', 'TriNet Gr0up', 'CUNA Mutual Group', 'CUNA Mutuäl Group', 'Altria Group', 'Asçena Retail Gr0up', 'Ascéna Retail Group']"
Avnet,"['Ávnet', 'avnEt', 'Avnèt']","['Gánnett', 'Gannett', 'Navient', 'Anthem', 'Nav1ent']"
Avon Products,"['Ávon Products', 'aVonProductś', 'Avoñ Prodücts']","['Sònoco Products', 'So noco Product5', 'S0noco Prodúcts', 'Sonoco Products']"
Axiall,"['áxiaIl', 'Axial l', 'Axíall']","['Ball', 'Visa', 'Expedia', 'Pal l', 'Expèdia', 'Pall']"
B/E Aerospace,"['B/E Aero5pace', 'B/E Aerospáce', 'B/E Aer ospace']","['CB RE Group', 'Apache', 'CBRE Group', 'Antero Resourceś']"
BB&T Corp.,"['B B&T Corp.', 'Bb&T Corp.', 'BB&T C0rp.']","['PG&E Corp.', 'M&T Bànk Corp.', 'P G&E Corp.', 'PG&È Corp.']"
Babcock & Wilcox,"['Babçock & Wílcox', 'Babcock & Wi1cox', 'Babçock & Wilcox']","['Stanley Black & Decker', 'Bank of americA Corp.', 'Stan1ey Black & Decker', 'Abercrombie & Fitch', 'Bank of America Corp.', 'Abèrcrombie & Fitch', 'BlackRock', 'Qua lcomm']"
Baker Hughes,"['Bàker Hughe5', 'Bákér Hùghes.', 'Bàke r Hughes']","['Sea rs Hold1ngs', 'KB H0me', 'TöllBrothers', 'kB Home', 'Sears Holdings', 'Sear5 Holdings', 'KB Home', 'Zimmer Holdings.']"
Ball,"['Båll', 'Bäll', 'Ba1l']","['eBay', 'Pall', 'Páll', 'Pal1', 'Bèlk']"
Bank of America Corp.,"['Bank of americA Corp.', 'Bánk of America Corp.', 'Bánk 0f America Corp.']","['Bánk of New York Mellon Corp.', 'American Tower', 'Bank of New York Mellon Corp.', 'Bank of New York Mellon C0rp.']"
Bank of New York Mellon Corp.,"['Bank of Nèw Y0rk Mellon Corp', 'Bánk of New York Mellon Corp.', 'Bank of New York Mellon C0rp.']","['Bank of americA Corp.', 'Bank of America Corp.', 'Bánk of America Corp.']"
Barnes & Noble,"['Barne5 & N0ble', 'Barnès & noblè', 'Bar nes & Noble']","['Marsh & McLennañ.', 'Pr0cter & Gamble', 'Procter & Gamble', 'Time Warner Cable', 'Marsh & McLennan', 'Mars h & McLeñnan']"
Baxter International,"['Baxte r International', 'Baxter Internationá1', 'Båxter Internati0nal']","['An¡xter InternationaI', 'Br1nker International', 'Brinker International', 'Ànìxter Internatìonál', 'Anixter International', 'Anixter Interna tionál', 'Parexel International', 'Parèxel International']"
Beacon Roofing Supply,"['Be acon Roofing Supply.', 'Beacon R00fing Supply', 'Beacón Roofing Supply']","['Tràctor Supply', 'Tractor Supply', 'Trac tor Supp ly']"
Becton Dickinson,"['Bec ton Dîckinson', 'Becton D1ckìnson', 'Bect0n Dickinson']","['Avery Dęnnison', 'Pc Connection', 'Western Union', 'SùneDison', 'Boston Scientific', 'Benchmark Electronics', 'Avery Dennison']"
Bed Bath & Beyond,"['Bèd Bath & Beyond', 'Bed Bath & Beyònd', 'Be d Bath & Beyond']","['Big Heart Pet Brands', 'Raytheon', 'BigHeart Pet Brand5', 'B1g Heart Pet Brands']"
Belden,"['Be1den', 'Bèlden', 'Bel. den']","['Bóeing', 'Belk', 'Belk.', 'Jarden', 'Celgene', 'Mednax', 'jArden']"
Belk,"['Bèlk', 'Be1k', 'Belk.']","['Ball', 'Båll', 'Bäll', 'Ba1l', 'oneÖk', 'Belden', 'Oneok', 'Bel. den']"
Bemis,"['Be mis', 'BeM!s', 'Bèm1s']","['ArcBest', 'arCBest', 'Be1k', 'Exelis', 'Zoetis', 'Zoètis', 'Z0etis', 'cBs']"
Benchmark Electronics,"['Bènchmark Electronics', 'Be nchmark Electrönics', 'Benchmark Electr0nics']","['Arroω E1ectronics', 'Arrow Electronics', 'Árrow Electronics', 'General Electric']"
Berkshire Hathaway,"['Berkshìre Hathaway', 'Berkshire Hatháway.', 'Bèrkshire  Hathaway']","['Kin.dred Healthcare', 'Teneť Healthcare', 'Kinᵈred Healthcare', 'Hershey', 'Kindred Healthcare', 'Tenet Healthcarè']"
Berry Plastics Group,"['Berry Plastics Gr oup', 'Berry Plastics Gr0up', 'Beŗry Plastics Group']","['War ner Music Group', 'Wárner Músic Group', 'Warner Music Gròup.', 'Warner Music Group']"
Best Buy,"['Best Buÿ', 'Bèst Buy', 'Be5tBuy']","['arCBest', 'Blàckstone Gr0up', 'Jet BluèAirways', 'West', 'eBay', 'Blackstone Group', 'eBay.', 'eBáy', 'ArcBest']"
Big Heart Pet Brands,"['BigHeart Pet Brand5', 'Big Heart_Pet Brands', 'B1g Heart Pet Brands']","['Hìllshire Brands', 'Tupper wáre Brands', 'tUppeŕware Brandś', 'Hillshire Brands', 'Tupperware Brands']"
Big Lots,"['B1g Lots', 'Big L0ts', 'BîgLots']","['L1thia Motors', 'Loews', 'XPO Logistics', 'xpO Logistics', 'Buřlington Storès', 'Loèws', 'Zoètis', 'Burlington Stores', 'Vi sa']"
Bio-Rad Laboratories,"['ᗷio-Rád   Laboratories', 'Bìo-Rad Laborat0ries', 'Bio- Rad Labo.ratories']","['Abbott Laboratories.', 'Forest Laboratories', 'Abbott Laboratories']"
Biogen,"['Bìogen', 'Biogen.', 'B1ogen']","['Boeing', 'àMgen', 'Boe ing']"
BlackRock,"['BlackRòck', 'BlаckR0ck', 'BláckRock']","['Bèlk', 'Belk', 'H&R Block', 'h&r Blöck', 'Stanley Black& Decker']"
Blackstone Group,"['Blac kstone Group', 'Blàckstone Gr0up', 'Black5tone Group']","['PulteGroup', 'Ryland Gr0up', 'Berry Plastics Gr0up', 'Ryland Group', 'Berry Plastics Group', 'Priceline Group', 'Beŗry Plastics Group']"
Bloomin' Brands,"[""B1oomin' Brands"", ""Blöomin' Brànds"", ""Bloomin' Brand5""]","['Yùm. Brands', 'Yum Brands', 'L Bránds', 'L Brands']"
Boeing,"['B0eing', 'Bóeing', 'Boe ing']","['Bìogen', 'Biogen', 'B1ogen', 'Hexion', 'Bemis']"
Boise Cascade,"['Boise Cas cade', '8oise Cascade', 'Boìse Cascade']","['Bel. den', 'IA5is Hea1thcare', 'Estee Lauder', 'Iαsis Healthcare', 'Esteè Lauder', 'Iasis Healthcare']"
Bon-Ton Stores,"['Bon-Ton Store5', 'B0n-Ton Stores', 'Bón-Ton Stores']","['Burlington Stores', 'BùrlingtonSto res', 'Buřlington Storès']"
