anchor_name,positive_name,negative_names
AOL,AOŁ,"['AGÇO', 'AGCO', 'AEÇOM']"
ARRIS Group,ARR1S Group,"['hRg Group', 'HRG Group', 'HR G Group']"
ARRIS Group,ArRIS Group,"['hRg Group', 'HRG Group', 'CIT Group']"
ARRIS Group,ARRIS Gr0up,"['hRg Group', 'HRG Group', 'HRG Gr0up']"
AT&T,A T&T,"['ITT', 'I TT', 'AdT']"
AT&T,ATÀT,"['ITT', 'AdT', 'ADT']"
AT&T,AT&Ť,"['AdT', 'ADT', 'A.DT']"
Aaron's,Aa ron’s,"['Andersons', 'Andersons.', 'Patrèson']"
Aaron's,Áaron's,"[""Brínk's"", ""Brink's"", ""Br1nk's""]"
Aaron's,Aar0n's,"[""Brínk's"", ""Brink's"", ""Br1nk's""]"
AbbVie,AbbVie.,"['Visteon', 'Viste0n', 'Hubbell']"
AbbVie,AbbV1e,"['Hubbell', 'Hubbel·l', 'Albemarlé']"
AbbVie,ÁbbVie,"['Visteon', 'Viste0n', 'Hubbell']"
Abbott Laboratories,AЬbott Labøratories,"['Forest Laboratories', 'Forest Lab0rat0ries', 'F0rest Laboratories']"
Abbott Laboratories,Ab bott Labořatories,"['Forest Laboratories', 'F0rest Laboratories', 'Bio-Rad Laboratories']"
Abbott Laboratories,Abbott Laboratories.,"['Forest Laboratories', 'F0rest Laboratories', 'Bio-Rad Laboratories']"
Abercrombie & Fitch,Abèrcrombie & Fitch,"['Amèriprise Financiál', 'Ameriprise Financial', 'Babcock & Wilcox']"
Abercrombie & Fitch,Abercrombie & Fitch.,"['Ameriprise Financial', 'AmeriPri se Financia1', 'Amèriprise Financiál']"
Abercrombie & Fitch,A bercrombie & F1tch,"['Ameriprise Financial', 'Babcock & Wi1cox', 'AmeriPri se Financia1']"
Activision Blizzard,Áctivision Bl1zzard,"['Eñvision HealthcareHoldings', 'Precision Càstparts', 'Precision Castparts']"
Activision Blizzard,Activisi0n Blizzard,"['Acuity Brands', 'Acuity Brand5', 'Eñvision HealthcareHoldings']"
Activision Blizzard,Ac tivision Bl1zzard,"['Eñvision HealthcareHoldings', 'Precision Càstparts', 'Precision Castparts']"
Acuity Brands,Aćuity Brands,"['Yum Brands', 'L Brands', '1 Brands']"
Acuity Brands,A cuityBr ands,"['L Brands', '1 Brands', 'L Bran ds']"
Acuity Brands,Acuity Brand5,"['Yum Brands', 'L Brands', '1 Brands']"
Adams Resources & Energy,Adams Resources &Enèrgy,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
Adams Resources & Energy,Adáms Resources & Energy,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
Adams Resources & Energy,Adams Resources & Enérgy,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
Adobe Systems,Adobè Syst ems,"['Císco Systems', 'Cisco Systems', 'Cïsco. Systems']"
Adobe Systems,Adobé System5,"['Ryder System', 'Rýder Sys tem', 'Císco Systems']"
Adobe Systems,Ad0bé Systems,"['DST Systems', 'D5T Systems', 'Ryder System']"
Advance Auto Parts,Advànce Aut0 Part5,"['Són1c Automation.', 'Gènuine Parts', 'Genuíne Part5']"
Advance Auto Parts,advAnce Auto Partš,"['Són1c Automation.', 'Rockwell Automation', 'Rockwe11 Automati0n']"
Advance Auto Parts,A dvance AutoParts,"['Gènuine Parts', 'Genuine Parts', 'Avon Products']"
Advanced Micro Devices,Advancëd Micr0 Devices,"['Anál0g Devices', 'Analog Devices', 'Anal0g De vices']"
Advanced Micro Devices,Advancèd Micro Deviçes,"['Analog Devices', 'Anál0g Devices', 'Advance Auto Parts']"
Advanced Micro Devices,ᴀdvanced Mícro Devices,"['Analog Devices', 'Kar Auctìon Services', 'Kar Auction Services']"
Aetna,Ãètna,"['Fàstenal', 'Fastenal', 'Fastènal.']"
Aetna,Aetna.,"['Ciena.', 'Ciena', 'Avnet']"
Aetna,Ae tna,"['Ciena', 'Avnet', 'Amgen']"
Affiliated Managers Group,Affiliated. Managers Group,"['Neiman Marcús Group', 'Neiman Marcus Group', 'Hartford Financial Services Group']"
Affiliated Managers Group,Aff1liated Managers Groùp,"['Neiman Marcús Group', 'Neiman Marcus Group', 'Ne1man Marcus Group']"
Affiliated Managers Group,Aƒfiliated Managers Group,"['Neiman Marcús Group', 'Neiman Marcus Group', 'Hartford Financial Services Group']"
Aflac,Af1ac,"['Apachè', 'Apache', 'Apa che']"
Aflac,Afl.ac,"['Alcòa', 'Alcoa', 'Apachè']"
Aflac,Aflác,"['Alcòa', 'Alcoa', 'Alco a']"
Agilent Technologies,Ag1lent Techn0l0gies,"['Tèledyne Techn0logies', 'Allegheny Technologies', 'Rôper Techn0logies']"
Agilent Technologies,Agilent Techno logies,"['Allegheny Technologies', 'Èxide Technologies', 'Exide Technologies']"
Agilent Technologies,Agilènt Technolgies,"['Unitèd Technologies', 'United Technologies', 'Allegheny Technologies']"
Air Products & Chemicals,Aír Pr0ducts & Chem1cals,"['A-Màrk Precious Metals', 'A-Mark Precious Metals', 'A-Mark Precious Me+als']"
Air Products & Chemicals,Air Prodùcts& Chēmicals,"['Dow Chemical', 'Alexion Pharmaceuticals', 'Avon Products']"
Air Products & Chemicals,A1r Products &Chemicals,"['A-Màrk Precious Metals', 'A-Mark Precious Metals', 'A-Mark Precious Me+als']"
Airgas,Airga.s,"['Allergan.', 'Allergan', 'A11ergan']"
Airgas,Aírgas,"['Allergan', 'A11ergan', 'Allergan.']"
Airgas,Àirga5,"['Cigna', 'Cig.na', 'Hospira']"
Alaska Air Group,alaSka Air Group.,"['ArRIS Group', 'áltría Group', 'Ryland Group']"
Alaska Air Group,A1as ka Air Grouè,"['A ptarGroup', 'Ascéna Retail Group', 'Ascena Retail Group']"
Alaska Air Group,A1á5ka Air Group,"['AptarGroup', 'American Airlines Group', 'ArRIS Group']"
Albemarle,Álbemarle,"['Álere', 'Alere', 'Walmart']"
Albemarle,albèmarle,"['Alère', 'Walmart', 'Caleres']"
Albemarle,Albemarlé,"['Alere', 'Aleris', 'Walmart']"
Alcoa,Alcòa,"['Aflác', 'Aflac', 'Afl.ac']"
Alcoa,alCoa,"['Qualcomm', 'Çoca-Cola', 'Árch Coa1']"
Alcoa,Alco a,"['Aflác', 'Aflac', 'Arch Coal']"
Alere,Álere,"['Caleres', 'Caleres.', 'Terex']"
Alere,A1ere,"['Ameren', 'Ame.ren', 'Terex']"
Alere,Alère,"['Dèere', 'Apple', 'Albemarle']"
Aleris,A1eri5,"['Alere', 'A1ere', 'Amerčò']"
Aleris,4leri5,"['Álere', 'Alere', 'Verizon']"
Aleris,A1eri s,"['A1ere', ""CARTer's"", 'Bemis']"
Alexion Pharmaceuticals,Álexìon Pharmaceut1cals,"['Règéneron Pharmaceuticals', 'Regeneron Pharmaceuticals', 'Regenerón Pharmaceuticals']"
Alexion Pharmaceuticals,Alex1on. Pharmaceuticals,"['Règéneron Pharmaceuticals', 'Regeneron Pharmaceuticals', 'Regenerón Pharmaceuticals']"
Alexion Pharmaceuticals,Aĺexion Pharmaceutícal5,"['Regeneron. Pharmaceutical5', 'Règéneron Pharmaceuticals', 'Regeneron Pharmaceuticals']"
Alleghany,Álleghany,"['Àllergan', 'Allergan', 'Allergan.']"
Alleghany,A11eghany,"['Allergan', 'A11ergan', 'Allergan.']"
Alleghany,Alleghány,"['Allergan', 'Allergan.', 'Àllergan']"
Allegheny Technologies,AllèghenyTech nol ogies,"['Agilent Technologies', 'Agilent Techno logies', 'Agilènt Technolgies']"
Allegheny Technologies,"Allegheny Technologie5,","['Agilent Technologies', 'Agilent Techno logies', 'Teledyne Technologies']"
Allegheny Technologies,Állegheny Technologie5,"['Agilent Technologies', 'Teledyne Technologies', 'Agilent Techno logies']"
Allergan,Àllergan,"['Álleghany', 'Alleghany', 'Alleghány']"
Allergan,Allergan.,"['Alleghany', 'Álleghany', 'Alleghány']"
Allergan,A11ergan,"['Alleghany', 'A11eghany', 'Aírgas']"
Alliance Data Systems,Al1iance Data Systems,"['Telephone & Data Systems', 'Teleph0ne & Data Systems', 'SunGard Data Systems']"
Alliance Data Systems,Alliance Data Sy5tems,"['Telephone & Data Systems', 'Teleph0ne & Data Systems', 'SunGard Data Systems']"
Alliance Data Systems,Álliance Data Systems,"['Telephone & Data Systems', 'Teleph0ne & Data Systems', 'SunGard Data Systems']"
Alliance Holdings,Al1iance Holding5,"['Dana Holding', 'Dan aHolding', 'Silgan Holdings']"
Alliance Holdings,Alliance Ho1dings.,"['Silgan Holdings', 'Delta Tucker Holdings.', 'Zimmer Holdings.']"
Alliance Holdings,Älliance Holdings,"['Silgan Holdings', 'Si1ganHoldings', 'Hawaiian Holdings']"
Alliance One International,Álliance One Internationa1,"['Parexel International', 'Cameron International', 'Brinker International']"
Alliance One International,Alliancé One Internatíonal,"['Brinker International', 'Anixter International', 'Par exel International']"
Alliance One International,AlliancéOnè International,"['Lennox International', 'Edison International', 'Cameron International']"
Alliant Energy,Älliant Energÿ,"['Linn Energy', 'Lin nEnergy', 'Linn Energy.']"
Alliant Energy,All1ant Energy,"['Atmos Energy', 'Atmos Ener gy', 'Xcèl Energy']"
Alliant Energy,Al liantEnergy,"['Xcèl Energy', 'Xcel Energy', 'Linn Energy']"
Allison Transmission Holdings,A11ison Transmission Holdings,"['Quintiles Transnational Holdings', 'Quińtiles Transnational Hold1ngs', 'Quintiles. TransnationalHoldings']"
Allison Transmission Holdings,Allison Transmission. Holdings,"['Quintiles Transnational Holdings', 'Alliance Holdings', 'Booz Allen Hamilton Holding']"
Allison Transmission Holdings,Al1isón Transmission Holdings,"['Quintiles Transnational Holdings', 'Quińtiles Transnational Hold1ngs', 'Quintiles. TransnationalHoldings']"
Allstate,All5tate,"['Alliant Energy', 'All1ant Energy', 'Al liantEnergy']"
Allstate,Allstate.,"['Alliant Energy', 'All1ant Energy', 'Al liantEnergy']"
Allstate,Àllstate,"['Älliant Energÿ', 'Alliant Energy', 'All1ant Energy']"
Ally Financial,Ally Financiål,"['Voya Financial', 'V0ya Financial', 'Voya Financ ial']"
Ally Financial,Al1y Fìnancial,"['Voya Financial', 'V0ya Financial', 'Voya Financ ial']"
Ally Financial,A11y Financial,"['Voya Financial', 'V0ya Financial', 'Voya Financ ial']"
Alpha Natural Resources,A1pha Natural Resources,"['Cliffs Natural Resources', 'Cl1ffs Naturai Resources', 'Pioneer Natural Resources']"
Alpha Natural Resources,Alpha Natura1 Re5ources,"['Cliffs Natural Resources', 'Cl1ffs Naturai Resources', 'Pioneer Natural Resources']"
Alpha Natural Resources,AlpháNatural Resources,"['Cliffs Natural Resources', 'Cl1ffs Naturai Resources', 'Pioneer Natural Resources']"
Altria Group,áltría Group,"['Ryland Group', 'PulteGroup', 'AptaðGroup']"
Altria Group,Åltria Gr0up,"['TriNet Group', 'TriNet Gr0up', 'Ryland Group']"
Altria Group,Altria Gróup,"['AptårGrøup', 'AptaðGroup', 'AptarGroup']"
AmTrust Financial Services,AmTrust Financiãl Services,"['Discover Financial Services', 'Discover Financial Servicès', 'Hartford Financial Services Group']"
AmTrust Financial Services,ÁmTrust Financial Services,"['Discover Financial Services', 'Discover Financial Servicès', 'Hartford Financial Services Group']"
AmTrust Financial Services,AmTrust Financial Servicès,"['Discover Financial Servicès', 'Discover Financial Services', 'Hartford Financial Services Group']"
Amazon.com,Amázon.com,"['Amèr.co', 'Amèrco', 'Amerco']"
Amazon.com,Amazon.c0m,"['Symante.c', 'An.them', 'Amèr.co']"
Amazon.com,Amaz0n.com,"['Amèr.co', 'Symante.c', 'V¡acom']"
Amerco,Amèrco,"['Alcoa', 'Arch Coal', 'AmericañTower']"
Amerco,Amèr.co,"['Arch Coal', 'Amèrén', 'Amázon.com']"
Ameren,Amèrén,"['Amgèn', 'Amgen', 'Alère']"
Ameren,Amêren,"['Amgen', 'jArden', 'Amphenol']"
Ameren,Amerčò,"['Amerco', 'Amgen', 'Alere']"
Ameren,Ame.ren,"['Amgen', 'Alere', 'A1ere']"
American Airlines Group,AmericanAirlines. Group,"['Priceline Group', 'American Financial Group', 'American Family Insurance Group']"
American Airlines Group,Americán Airtines Group,"['American Financial Group', 'American Family Insurance Group', 'Ame rican Financíal Group']"
American Airlines Group,Amèrican Aír1ines Gr0up,"['American Financial Group', 'Amer1can Financial Gr0up', 'Amèrican Fam1ly Insurance Group']"
American Axle & Manufacturing,Àmerican Axle & Manufacturing,"['ᗩmerican Eagle Outfitter5', 'American Eagle Outfitters', 'American Electric Power']"
American Axle & Manufacturing,America n Axle & Mànufacturing,"['American Eagle Outfitters', 'American Electric Power', 'Americ an Electric Power']"
American Axle & Manufacturing,Americán Axlè & Mànufacturing,"['American Eaglè Outfitters', 'Americán Electric Power', 'American Eagle Outfitters']"
American Eagle Outfitters,Aмerican EagleOutfitters,"['Urban Outfitters', 'American Electric Power', 'Americ an Electric Power']"
American Eagle Outfitters,American Eaglè Outfitters,"['Urban Outfitters', 'American Electric Power', 'American Water Works']"
American Eagle Outfitters,ᗩmerican Eagle Outfitter5,"['Urban Outfitters', 'American Electric Power', 'Ur ban Outfitter5']"
American Electric Power,Americán Electric Power,"['Emerson Electric', 'American Tower', 'American Eagle Outfitters']"
American Electric Power,american eLectric power,"['American Tower', 'American Water Works', 'American Water Work5']"
American Electric Power,Americ an Electric Power,"['American Tower', 'American Eagle Outfitters', 'Emerson Electric']"
American Equity Investment Life Holding,A.méŕican Equity Investment Lìfe Holding,"['American Tire Distributors Holdings', ""Amèrican Tire Distributor's Holdings"", 'Ame rican Tire Distrìbutors Holdings']"
American Equity Investment Life Holding,AmeřicanEquity Investment Life Holding,"['American Tire Distributors Holdings', 'Ame rican Tire Distrìbutors Holdings', 'Amer1can T1re Distributors Holdings']"
American Equity Investment Life Holding,Americán Equity Investment Life Holding,"['American Tire Distributors Holdings', 'Ame rican Tire Distrìbutors Holdings', ""Amèrican Tire Distributor's Holdings""]"
American Express,Americàn Express,"['Express', 'American Tower', 'Americán Electric Power']"
American Express,Amer1can Express,"['Express', 'Amerìcan Tower', 'American Tower']"
American Express,Ameri can Express,"['American Tower', 'American Electric Power', 'American Airlines Group']"
American Family Insurance Group,Amer1can Family In5urance Group,"['American Financial Group', 'Amer1can National Insurance', 'Ame rican Financíal Group']"
American Family Insurance Group,American Family Insurance Gr0up,"['American National Insurance', 'American Financial Group', 'Amer1can National Insurance']"
American Family Insurance Group,Amèrican Fam1ly Insurance Group,"['Èrie Insurance Group', 'Erie Insurance Group', 'Sen try Insurance Group']"
American Financial Group,Ame rican Financíal Group,"['Securian Financíal Gr oup', 'Securian Financial Group', 'American Family Insurance Group']"
American Financial Group,Américań Financial Group,"['Securian Financial Group', 'CNO Financial Group', 'Securian Financíal Gr oup']"
American Financial Group,Amer1can Financial Gr0up,"['Securián Financial Gr0up', 'Securian Financial Group', 'Securian Financíal Gr oup']"
American National Insurance,Amer1can National Insurance,"['Amica Mutual Insurance', 'American Family Insurance Group', 'American Family Insurance Gr0up']"
American National Insurance,Amerícan Natìonal Insurancè.,"['Amica Mutual Insurance', 'American Family Insurance Group', 'American Family Insurance Gr0up']"
American National Insurance,Amèrican Nat10nal Insurance,"['Amica Mutual Insurance', 'Amica Mutuál Insurance', 'Am1ca Mutual Insurançe']"
American Tire Distributors Holdings,Amèrican Tire Distributor's Holdings,"['Allison Transmission Holdings', 'Al1isón Transmission Holdings', 'A11ison Transmission Holdings']"
American Tire Distributors Holdings,Ame rican Tire Distrìbutors Holdings,"['American Equity Investment Life Holding', 'Americán Equity Investment Life Holding', 'ServiceMaster Global Holdings']"
American Tire Distributors Holdings,Amer1can T1re Distributors Holdings,"['Al1isón Transmission Holdings', 'A11ison Transmission Holdings', '1inc0ln Electric Holdings']"
American Tower,Amerìcan Tower,"['American Electric Power', 'Americ an Electric Power', 'American Express']"
American Tower,Amer1can Tower,"['American Electric Power', 'Americ an Electric Power', 'American Express']"
American Tower,AmericañTower,"['American Electric Power', 'Amerco', 'Americ an Electric Power']"
American Water Works,American Water Work5,"['American Electric Power', 'American Tower', 'Americ an Electric Power']"
American Water Works,Ame rican Water Works.,"['American Electric Power', 'American Tower', 'Americ an Electric Power']"
American Water Works,Amer1can Water Works,"['American Electric Power', 'Americ an Electric Power', 'Amerìcan Tower']"
Ameriprise Financial,AmeriPri se Financia1,"['Symetra Financial', 'Regions Financial', 'Fírst American Financial']"
Ameriprise Financial,Amèriprise Financiál,"['Symètra Financial', 'Principal Financial', 'Stifel Financial']"
Ameriprise Financial,Ameρr1se Fínancial,"['Symetra Financial', 'Jones Financial', 'Sÿmetra Fìnancial']"
AmerisourceBergen,AmerisourceBergén,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
AmerisourceBergen,A meri sourceBergen,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
AmerisourceBergen,ÁmerisourceBergèn,"['Èversource Energy', 'Eversource Energy', 'Eversour ce Energy']"
Ametek,amEtek.,"['Nortek', 'N0rtek.', 'Nor tek']"
Ametek,Ame1ek,"['Ameren', 'Ame.ren', 'Amgen']"
Ametek,Amètèk,"['Aràmárk', 'Aramark', 'ARAmark']"
Amgen,Amgèn,"['Amêren', 'Amèrén', 'Ameren']"
Amgen,Amgè.n,"['Ame.ren', 'Amèrén', 'Amêren']"
Amgen,àMgen,"['Bìogen', 'Biogen', 'B1ogen']"
Amica Mutual Insurance,Amica Mutuál Insurance,"['Amèrican Nat10nal Insurance', 'American National Insurance', 'Amer1can National Insurance']"
Amica Mutual Insurance,Am1ca Mutual Insurançe,"['Amer1can National Insurance', 'Amèrican Nat10nal Insurance', 'American National Insurance']"
Amica Mutual Insurance,AmicáMutualInsurance,"['Amèrican Nat10nal Insurance', 'American National Insurance', 'Mutual of Omaha Insurance']"
Amkor Technology,Amkor Techno1ogy,"['mIcon Technology', 'Mícroñ Technology', 'Micron Technology']"
Amkor Technology,Aмkor Technólogy,"['mIcon Technology', 'Mícroñ Technology', 'Miçron Techn0logy']"
Amkor Technology,Amkor  Techn0logy,"['mIcon Technology', 'Miçron Techn0logy', 'Mícroñ Technology']"
Amphenol,Ampheñol,"['Apáche', 'Apache', 'Amerco']"
Amphenol,Amphen0l,"['Amgen', 'Apáche', 'Apache']"
Amphenol,Am phenol,"['Amgen', 'Apáche', 'Apache']"
Anadarko Petroleum,Ana daŕko Petrole um,"['Marathon Petroleum', 'Par Petroleum', 'Marathon. Petroleum']"
Anadarko Petroleum,Ānādarko PeTrõleum,"['Par Petroleum', 'Marathon Petroleum', 'Marathon. Petroleum']"
Anadarko Petroleum,Anädärko Petroleům,"['Pàr Petroleum', 'Par Petroleum', 'Marathon Petroleum']"
Analog Devices,ánaløg Devices.,"['Quánta Services', 'Quanta Services', 'Kelly Services']"
Analog Devices,Anal0g De vices,"['Quánta Services', 'Quanta Services', 'Advancëd Micr0 Devices']"
Analog Devices,Anál0g Devices,"['Kelly Services', 'Advancëd Micr0 Devices', 'Advanced Micro Devices']"
Andersons,Anders0ns,"['Sanderson Farms', '5anderson Farms', 'Sandersón  Farms']"
Andersons,Andersons.,"['Sanderson Farms', '5anderson Farms', ""Aaron's""]"
Andersons,Andérson5,"['SùnEdison', 'SunÉdison', 'SunEdison']"
Anixter International,An¡xter InternationaI,"['Baxter International', 'Baxte r International', 'Båxter Internati0nal']"
Anixter International,Anixter Interna tionál,"['Baxter International', 'Baxte r International', 'Baxter Internationá1']"
Anixter International,Ànìxter Internatìonál,"['Baxter Internationá1', 'Baxter International', 'Baxte r International']"
Antero Resources,Anter0 Resour ces,"['Range Resources', 'AGL Resources', 'Denbury Resources']"
Antero Resources,Änterò Resources,"['Range Resources', 'Denbury Resources', 'Targa Resources']"
Antero Resources,Antero Resourceś,"['Range Resources', 'AGL Resources', 'Cóncho Resources']"
Anthem,Änthém,"['Centéne', 'Hùntsmán', 'Huntsman']"
Anthem,An thèm,"['Avnèt', 'Avnet', 'Apa che']"
Anthem,An.them,"['Intel', 'Inte1', 'Avnèt']"
Apache,Apa che,"['Paÿchex', 'Paychex', 'Paychex.']"
Apache,Apáche,"['Ampheñol', 'Amphenol', 'Amphen0l']"
Apache,Apachè,"['Cóach', 'Coach', 'COAch']"
Apollo Education Group,Apolló Education. Group,"['Altria Group', 'Blackstone Group', 'Black5tone Group']"
Apollo Education Group,Apóllo Education Group,"['Altria Group', 'Blackstone Group', 'Black5tone Group']"
Apollo Education Group,Apollo Educat1on Gróup,"['Altria Gróup', 'Blàckstone Gr0up', 'Blackstone Group']"
Apple,áPple,"['Staples', 'Stapl es', 'Álere']"
Apple,App.le,"['Alère', 'Alere', 'NètApp']"
Apple,App1e,"['NètApp', 'NetApp', 'Apáche']"
Applied Industrial Technologies,Applied Indu strial Technologíes,"['Agilent Technologies', 'Agilent Techno logies', 'Teledyne Technologies']"
Applied Industrial Technologies,App1ied Induśtrial Technologies,"['Agilent Technologies', 'Agilent Techno logies', 'Roper Technologies']"
Applied Industrial Technologies,Appl1ed Industriál Technologie5,"['Agilent Technologies', 'Agilent Techno logies', 'Teledyne Technologies']"
Applied Materials,Applìed Materìals,"['Vúlcan Materials', 'Vulcan Materials', 'Vúlcán Material5']"
Applied Materials,Applíed Matèrials,"['Vúlcan Materials', 'Vulcan Materials', 'Vúlcán Material5']"
Applied Materials,Appl1ed Materíals,"['Vúlcan Materials', 'Vulcan Materials', 'Vúlcán Material5']"
AptarGroup,A ptarGroup,"['Altria Group', 'ArRIS Group', 'áltría Group']"
AptarGroup,AptårGrøup,"['Altria Gróup', 'Altria Group', 'ArRIS Group']"
AptarGroup,AptaðGroup,"['Altria Group', 'áltría Group', 'Altria Gróup']"
Aramark,Aràmárk,"['Torchmark', 'T0rchmark', 'Torchmark.']"
Aramark,ARAmark,"['Torchmark', 'T0rchmark', 'Albemarlé']"
Aramark,Ara mark,"['Torchmark', 'Tor chmark', 'T0rchmark']"
ArcBest,arCBest,"['West', 'Best Buÿ', 'Best Buy']"
ArcBest,ArcBèst,"['cBs', 'Aírgas', 'Amèrco']"
ArcBest,Arc Best,"['cBs', 'West', 'W est']"
Arch Coal,A.rch Còal,"['Alco a', 'Arc Best', 'Ara mark']"
Arch Coal,Arch C0al.,"['Alco a', 'Arc Best', 'Ara mark']"
Arch Coal,Árch Coa1,"['EchoStar', 'Echo$tar', 'Michaels Cos.']"
Archer Daniels Midland,Ar cher Daniel5 Midlând,"['General Mills', 'Arch Coal', 'Avery Dęnnison']"
Archer Daniels Midland,Arche.r Daniels Midland,"['Avery Dęnnison', 'Avery Dennison', 'General Mills']"
Archer Daniels Midland,Ɓrchèr Daníels Mìdland,"['Hanesbrands', 'HanesBrandS', 'WèllCare Health Planś']"
Armstrong World Industries,Armstrong W0rldIndustries,"['Wòrthington Industries', 'Worthington Industries', 'Valmont Industries']"
Armstrong World Industries,Armstrong Wòrld Industrie5,"['Harman International Industries', 'Valmont Industries', 'Thor Industries']"
Armstrong World Industries,Arm5trong World Industries,"['Wòrthington Industries', 'Worthington Industries', 'Valmont Industries']"
Arrow Electronics,Arroω E1ectronics,"['Bènchmark Electronics', 'Benchmark Electronics', 'Electronic Arts']"
Arrow Electronics,Arrow E1ectronics.,"['Bènchmark Electronics', 'Benchmark Electronics', 'Electronic Arts']"
Arrow Electronics,Árrow Electronics,"['Electronic Arts', 'Bènchmark Electronics', 'Benchmark Electronics']"
Arthur J. Gallagher,Arthùr J. Gállagher,"['W. W. Grainger', 'Procter & Gamble', 'Pr0cter & Gamble']"
Arthur J. Gallagher,Árthur J. Gallaghèr,"['Procter & Gamble', 'Pr0cter & Gamble', 'Pròcter & Gam ble']"
Arthur J. Gallagher,Arthu r J. Gallagher,"['Procter & Gamble', 'Pr0cter & Gamble', 'Pròcter & Gam ble']"
Asbury Automotive Group,Ásbury Automotive Group,"['Pénske Automotive Group', 'Penske Automotive Group', 'Pènskè. Automotive Group']"
