normalized_company,label
Personal team Rhein - Ruhr GmbH,0
Hotel Hohenlohe Besitz GmbH & Co . KG,0
Reiter Fliesen Stein GmbH,0
ALLBEG GmbH,0
Goliath Show & Promotion Gesellschaft mit beschrankter Haftung,0
Hoven Kabel Verwaltungs - GmbH,0
HMA Splietker Immobilien GmbH & Co . KG,0
NevaDATA GmbH,0
Christoffers Onshore and Subsea GmbH,0
J . R . Malerwerkstaette Limited & Co . KG Zweig niederlassung Deutschland,0
Kindler Beteiligungs GmbH,0
Dipl . - Ing . R . Zwilling Ingenieur buro fur Bau wesen GmbH,0
#NAME?,0
TRANSEUROPA LOGISTIK UG ( haftungsbeschrankt ),0
edukativ direkt GmbH,0
Merschbrock V & P Vertrieb und Projektierung GmbH,0
LRS Vermogens verwaltung gesellschaft mbH,0
Frank Loffler - Elektro - Loffler e . K .,0
Wein mann Haus verwaltung GmbH,0
Sankopie Zeitz Werner Buschner KG .,0
Mittel stands wissen Services GmbH,0
SPARK Werbe agentur GmbH,0
DSG Dohmen Auto handels gesellschaft mbH,0
mirecs Technologie partner GmbH,0
texsport e . K .,0
diges - Gesellschaft fur Wohnung wirtschaft und Stadt forschung mbH,0
Zazem Cologne UG ( haftungsbeschrankt ),0
Clibss UG ( haftungsbeschrankt ),0
Die liefer BAR GmbH,0
Wachendorff Automation GmbH & Co KG,0
Isar Getriebe technik KG,0
Klaus Wangen Design GmbH,0
Faktor zwei Computer + Systeme GmbH,0
Holz werk Dahlen Beteiligungs - GmbH,0
STAR - BAG GmbH,0
Kruno Simovic UG ( haftungsbeschrankt ),0
IMEX SUD AMERIKA e . K .,0
Zentra - Bau trager gesellschaft mbH,0
ZDF Werbe fernsehen GmbH,0
Bio gas Behrenhoff Verwaltungs - GmbH,0
MFEH Capital UG ( haftungsbeschrankt ),0
BAUEXPERTS Sachverstandigen gesellschaft mbH,0
Bekor Musik verlag OHG,0
BTS Scholz UG ( haftungsbeschrankt ),0
Appel GmbH,0
FAIRCUT cutting solutions GmbH & Co . KG,0
Bassil Group GmbH & Co . KG,0
B . Lu GmbH,0
Outdoorwelt GmbH,0
Ludwigsfelder Logistik GmbH,0
Heinrichshohe GmbH,0
tropextrakt GmbH,0
Andreas Carstens Gesellschaft mit beschrankter Haftung,0
RS Grundstucks verwaltung - und Beteiligung gesellschaft mbH,0
Croma Handel & Vertriebs GmbH,0
Cocoon Fitness Club GmbH,0
Perkey Internet dienstleistung UG ( haftungsbeschrankt ),0
Kraftfahrzeug - Service - Center GmbH,0
Pegasus Rendite Solar park Sachsen GmbH & Co . KG,0
DSH Dentale System - und Handels GmbH,0
Deutsche Gesellschaft fur Vorsorge mbH,0
RAILROAD TRACKS GmbH,0
Wilhelm & Wiczynski Elektro installation GmbH,0
RMH Management Consulting GmbH,0
FINANZ - KONZEPT Makler - Gesellschaft m . b . H,0
Elbe - Trans Verwaltungs GmbH,0
Erlebnis welt Renaissance Projekt entwicklung GmbH,0
Bernd Habben Verwaltung von Wohnung eigentum e . K .,0
Porsche Financial Services Verwaltung gesellschaft mbH,0
Popp & Kloos Immobilien gesellschaft mit beschrankter Haftung,0
Neckar - Apotheke Apothekerin S . Arndt - Sitter e . K .,0
trends @ trades Verlags GmbH,0
Reifen dienst & Auto service Siptroth GmbH,0
Milch hof Meetzen KG,0
Karl Seelbach GmbH & Co . KG,0
Poller Steinbruche Verwaltung gesellschaft mit beschrankter Haftung,0
HH Grundstucks - Vermietung gesellschaft mbH,0
TEACH TECH Teachware Technology GmbH Computergestutzte Lern systeme,0
Vereinigte Fach verlage GmbH,0
Eisen blatter GmbH & Co . KG i . L .,0
M 2 9 Immobilien management UG ( haftungsbeschrankt ) & Co . KG,0
BBTec Industrie technik Vertrieb GmbH,0
PWSC Professor Steffen Consulting GmbH,0
Sofis GmbH & Co . KG,0
Elomech Elektro anlagen GmbH,0
Ullrich GmbH & Co . KG,0
Wein labor Edith Kessler GmbH,0
Erich Haas Feuer losch bedarf,0
GFP Dialog Gesellschaft fur Produkinformation mbH,0
"Wehre tal Apotheke , Inhaberin Elisabeth Schmidt e . Kfr",0
Reichel Service GmbH,0
"Heptig Land maschinen e . K . , Inh . Ewald Heptig",0
Turme Unlimited UG ( haftungsbeschrankt ),0
Kontor gruppe Verwaltungs - GmbH,0
NENAG oHG,0
Wurttembergische Immobilien Aktien gesellschaft,0
Air Berlin Funfte Flugzeug GmbH,0
Joseph Angcaya e . K,0
St . Mauritius - Apotheke Stephan Muller e . K .,0
NKG Grundstucks GmbH & Co . Schillerpromenade 3 6 KG,0
Alt haus Draht form technik GmbH,0
Richter Trade & Invest GmbH,0
BBK UG ( haftungsbeschrankt ),0
Drei zehnte Topos Vermogens verwaltung gesellschaft mbH,0
Felder Industrie technik GmbH,0
WKS Werkzeug fabrik Karl Scharfenberg GmbH & Co . KG,0
PIV - Projekt management Immobilien Verwaltung Rene Eichner e . Kfm,0
Schoner Reisen GmbH Reise buro,0
MHM Verwaltungs - GmbH,0
FJL UG ( haftungsbeschrankt ),0
Landwirtschaft betrieb Kruth KG,0
BabyGO Baby Products GmbH,0
AML - Dienst leistungen GmbH,0
